screen_id,route,method,path,operation_id,roles,object_scope,retry_policy,idempotency_mode,request_schema,response_schema,frontend_behavior,coverage_status
SCR_ADMIN_TAXONOMY,/admin/taxonomy,GET,/v1/admin/taxonomy/versions/{taxonomyVersionId},getTaxonomyVersion,admin,whole company admin,safe_read,none,NONE,TaxonomyVersion,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_ADMIN_TAXONOMY,/admin/taxonomy,POST,/v1/admin/taxonomy/versions/{taxonomyVersionId}/activate,activateTaxonomyVersion,admin,whole company admin,retry_same_idempotency_key,required,NONE,TaxonomyVersion,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_ADMIN_TAXONOMY,/admin/taxonomy,POST,/v1/admin/taxonomy/versions/{taxonomyVersionId}/categories,createTaxonomyCategory,admin,whole company admin,retry_same_idempotency_key,required,TaxonomyCategoryCreate,TaxonomyCategory,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_ADMIN_TAXONOMY,/admin/taxonomy,PATCH,/v1/admin/taxonomy/versions/{taxonomyVersionId}/categories/{categoryId},updateTaxonomyCategory,admin,whole company admin,retry_same_idempotency_key,required,TaxonomyCategoryPatch,TaxonomyCategory,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_ADMIN_TAXONOMY,/admin/taxonomy,POST,/v1/admin/taxonomy/versions/{taxonomyVersionId}/subcategories,createTaxonomySubcategory,admin,whole company admin,retry_same_idempotency_key,required,TaxonomySubcategoryCreate,TaxonomySubcategory,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_ADMIN_TAXONOMY,/admin/taxonomy,PATCH,/v1/admin/taxonomy/versions/{taxonomyVersionId}/subcategories/{subcategoryId},updateTaxonomySubcategory,admin,whole company admin,retry_same_idempotency_key,required,TaxonomySubcategoryPatch,TaxonomySubcategory,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_ADMIN_TOOLS,/admin/tools,GET,/v1/admin/tools,listAdminTools,admin,whole company admin,safe_read,none,NONE,ToolPage,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_ADMIN_TOOLS,/admin/tools,POST,/v1/admin/tools,createAdminTool,admin,whole company admin,retry_same_idempotency_key,required,ToolCreate,Tool,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_ADMIN_TOOLS,/admin/tools,PATCH,/v1/admin/tools/{toolId},updateAdminTool,admin,whole company admin,retry_same_idempotency_key,required,ToolPatch,Tool,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_ADMIN_TOOLS,/admin/tools,GET,/v1/admin/unrecognized-tools,listUnrecognizedTools,admin,whole company admin,safe_read,none,NONE,UnrecognizedToolPage,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_COMPANY_ANALYTICS,/rating/analytics,GET,/v1/analytics/company,getCompanyAnalytics,employee;director;executive;admin,aggregate/anonymous company scope,safe_read,none,NONE,CompanyAnalytics,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
,,POST,/v1/auth/logout,logoutCurrentSession,employee;director;executive;admin,current session,safe_repeat,none,NONE,NONE,Application/session action; no dedicated semantic screen required.,APP_ACTION_NO_SCREEN
SCR_AUTH_LOGIN,/login,POST,/v1/auth/verify,verifyPersonnelIdentity,public,public verification,safe_same_credentials,none,AuthVerifyRequest,AuthVerifyResponse,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_DIRECTOR_DASH,/director,GET,/v1/director/dashboard,getDirectorDashboard,director,own directorate only,safe_read,none,NONE,DirectorDashboard,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_DIRECTOR_DASH,/director,GET,/v1/director/employees,listDirectorateEmployees,director,own directorate only,safe_read,none,NONE,AdminEmployeePage,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_DIRECTOR_DASH,/director,GET,/v1/director/employees/{employeeId},getDirectorEmployeeDetail,director,employee in own directorate,safe_read,none,NONE,PersonalDashboard,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_PUBLIC_PROFILE,/profiles/:employeeId,GET,/v1/director/employees/{employeeId},getDirectorEmployeeDetail,director,employee in own directorate,safe_read,none,NONE,PersonalDashboard,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_DIRECTORATE_CARD,/rating/directorates/:directorateId,GET,/v1/directorates/{directorateId},getDirectorateCard,employee;director;executive;admin,authenticated rating scope,safe_read,none,NONE,DirectorateCard,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_EXEC_DASH,/executive,GET,/v1/executive/dashboard,getExecutiveDashboard,executive,whole company,safe_read,none,NONE,ExecutiveDashboard,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_EXEC_DASH,/executive,GET,/v1/executive/directorates/{directorateId},getExecutiveDirectorateDetail,executive,whole company directorate drilldown,safe_read,none,NONE,DirectorDashboard,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_DIRECTORATE_CARD,/rating/directorates/:directorateId,GET,/v1/executive/directorates/{directorateId},getExecutiveDirectorateDetail,executive,whole company directorate drilldown,safe_read,none,NONE,DirectorDashboard,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_EXEC_DASH,/executive,GET,/v1/executive/employees/{employeeId},getExecutiveEmployeeDetail,executive,whole company employee drilldown,safe_read,none,NONE,PersonalDashboard,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_PUBLIC_PROFILE,/profiles/:employeeId,GET,/v1/executive/employees/{employeeId},getExecutiveEmployeeDetail,executive,whole company employee drilldown,safe_read,none,NONE,PersonalDashboard,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_ADMIN_EXPORT,/exports,POST,/v1/exports,createExport,director;executive;admin,role-derived directorate/company export scope,retry_same_idempotency_key,required,ExportCreateRequest,ExportAccepted,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_ADMIN_EXPORT,/exports,GET,/v1/exports/{exportId},getExportStatus,director;executive;admin,request owner/authorized scope,safe_read_polling,none,NONE,ExportStatusResponse,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_ADMIN_EXPORT,/exports,GET,/v1/exports/{exportId}/download,downloadExport,director;executive;admin,re-authorized request owner/scope,safe_read,none,NONE,binary,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_GOALS,/goals,GET,/v1/goals/current,getCurrentGoals,employee,self,safe_read,none,NONE,GoalCycle,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_HOME,/,GET,/v1/goals/current,getCurrentGoals,employee,self,safe_read,none,NONE,GoalCycle,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_GOALS,/goals,GET,/v1/goals/history,listGoalHistory,employee,self,safe_read,none,NONE,GoalCyclePage,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_GOAL_SETUP,/goals/setup,GET,/v1/goals/setup,getGoalSetup,employee,self,safe_read_polling,none,NONE,GoalSetupState,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_GOAL_SETUP,/goals/setup,POST,/v1/goals/setup,submitGoalSetup,employee,self,retry_same_idempotency_key,required,GoalSetupSubmitRequest,GoalCycle,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_GOALS,/goals,POST,/v1/goals/setup,submitGoalSetup,employee,self,retry_same_idempotency_key,required,GoalSetupSubmitRequest,GoalCycle,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_HISTORY_EVENTS,/history/events,GET,/v1/history/events,listMyProgressEvents,employee,self,safe_read,none,NONE,HistoryEventPage,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_HISTORY_TASKS,/history,GET,/v1/history/tasks,listMyTaskHistory,employee,self,safe_read,none,NONE,TaskPage,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_HOME,/,GET,/v1/home,getHome,employee,self employee Home,safe_read,none,NONE,HomeResponse,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_PROFILE_SELF,/profile,GET,/v1/me,getCurrentUser,employee;director;executive;admin,self,safe_read,none,NONE,MeResponse,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_HOME,/,GET,/v1/me,getCurrentUser,employee;director;executive;admin,self,safe_read,none,NONE,MeResponse,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_ACHIEVEMENTS,/profile/achievements,GET,/v1/me/achievements,listMyAchievements,employee;director;executive;admin,self,safe_read,none,NONE,AchievementPage,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_PROFILE_SELF,/profile,GET,/v1/me/dashboard,getPersonalDashboard,employee;director;executive;admin,self,safe_read,none,NONE,PersonalDashboard,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_ONBOARDING,/onboarding,GET,/v1/me/onboarding,getOnboardingStatus,employee;director;executive;admin,self,safe_read,none,NONE,OnboardingStatus,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_ONBOARDING,/onboarding,POST,/v1/me/onboarding/complete,completeOnboarding,employee;director;executive;admin,self,retry_same_idempotency_key,required,OnboardingCompleteRequest,OnboardingStatus,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_PRIVACY,/profile/privacy,PATCH,/v1/me/privacy,updatePrivacyLevel,employee;director;executive;admin,self,safe_set_state,none,PrivacyUpdateRequest,PrivacyResponse,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_VACATION,/profile/vacation,PUT,/v1/me/vacation,setVacationState,employee;director;executive;admin,self,retry_same_idempotency_key,required,VacationUpdateRequest,VacationState,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_HOME,/,PUT,/v1/me/vacation,setVacationState,employee;director;executive;admin,self,retry_same_idempotency_key,required,VacationUpdateRequest,VacationState,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_NOTIFICATIONS,/notifications,GET,/v1/notifications,listNotifications,employee;director;executive;admin,self,safe_read,none,NONE,NotificationPage,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_HOME,/,GET,/v1/notifications,listNotifications,employee;director;executive;admin,self,safe_read,none,NONE,NotificationPage,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_NOTIFICATIONS,/notifications,POST,/v1/notifications/{notificationId}/read,markNotificationRead,employee;director;executive;admin,self notification,safe_repeat,none,NONE,NONE,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_PUBLIC_PROFILE,/profiles/:employeeId,GET,/v1/profiles/{employeeId},getPublicEmployeeProfile,employee;director;executive;admin,peer privacy or privileged management scope,safe_read,none,NONE,PublicProfile,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_RATING_DIRECTORATES,/rating/directorates,GET,/v1/ratings/directorates,listDirectorateRating,employee;director;executive;admin,authenticated rating scope,safe_read,none,NONE,DirectorateLeaderboardPage,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_RATING_EMPLOYEES,/rating,GET,/v1/ratings/employees,listEmployeeRating,employee;director;executive;admin,authenticated rating scope,safe_read,none,NONE,EmployeeLeaderboardPage,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_SCORING_INFO,/profile/scoring,GET,/v1/scoring-info,getScoringInfo,employee;director;executive;admin,authenticated,safe_read,none,NONE,ScoringInfo,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_CASE_ADD,/ai-cases/new,POST,/v1/tasks,createTask,employee,owner/self,retry_same_idempotency_key,required,TaskCreateRequest,TaskAcceptedResponse,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_CASE_PROCESSING,/ai-cases/:taskId/processing,POST,/v1/tasks,createTask,employee,owner/self,retry_same_idempotency_key,required,TaskCreateRequest,TaskAcceptedResponse,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_CASE_VOICE,/ai-cases/new/voice,POST,/v1/tasks/voice/transcriptions,transcribeTaskAudio,employee,self task draft,retry_same_idempotency_key,required,AudioUpload,TranscriptionResponse,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_CASE_TRANSCRIPT,/ai-cases/new/transcript,POST,/v1/tasks/voice/transcriptions,transcribeTaskAudio,employee,self task draft,retry_same_idempotency_key,required,AudioUpload,TranscriptionResponse,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_HISTORY_TASKS,/history,DELETE,/v1/tasks/{taskId},softDeleteTask,employee,owner only,retry_same_idempotency_key,required,NONE,NONE,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_CASE_DETAIL,/ai-cases/:taskId,DELETE,/v1/tasks/{taskId},softDeleteTask,employee,owner only,retry_same_idempotency_key,required,NONE,NONE,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_CASE_DETAIL,/ai-cases/:taskId,GET,/v1/tasks/{taskId},getTask,employee;director;executive;admin,owner or authorized management scope,safe_read,none,NONE,TaskDetail,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_CASE_EDIT,/ai-cases/:taskId/edit,PATCH,/v1/tasks/{taskId},editTask,employee,owner only,retry_same_idempotency_key,required,TaskEditRequest,TaskAcceptedResponse,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_CASE_PROCESSING,/ai-cases/:taskId/processing,PATCH,/v1/tasks/{taskId},editTask,employee,owner only,retry_same_idempotency_key,required,TaskEditRequest,TaskAcceptedResponse,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_CASE_CLARIFY,/ai-cases/:taskId/clarify,POST,/v1/tasks/{taskId}/clarifications/{clarificationId}/answer,answerTaskClarification,employee,owner only,retry_same_idempotency_key,required,ClarificationAnswerRequest,ProcessingState,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_CASE_PROCESSING,/ai-cases/:taskId/processing,POST,/v1/tasks/{taskId}/clarifications/{clarificationId}/answer,answerTaskClarification,employee,owner only,retry_same_idempotency_key,required,ClarificationAnswerRequest,ProcessingState,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_CASE_PROCESSING,/ai-cases/:taskId/processing,GET,/v1/tasks/{taskId}/processing,getTaskProcessingState,employee,owner only,safe_read_polling,none,NONE,ProcessingState,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_CASE_CLARIFY,/ai-cases/:taskId/clarify,GET,/v1/tasks/{taskId}/processing,getTaskProcessingState,employee,owner only,safe_read_polling,none,NONE,ProcessingState,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_CASE_RESULT,/ai-cases/:taskId/result,GET,/v1/tasks/{taskId}/result,getTaskResult,employee;director;executive;admin,owner or authorized management scope,safe_read_polling,none,NONE,TaskResult,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_CASE_DETAIL,/ai-cases/:taskId,GET,/v1/tasks/{taskId}/result,getTaskResult,employee;director;executive;admin,owner or authorized management scope,safe_read_polling,none,NONE,TaskResult,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_CASE_DETAIL,/ai-cases/:taskId,GET,/v1/tasks/{taskId}/versions,listTaskVersions,employee;director;executive;admin,owner or authorized management audit scope,safe_read,none,NONE,TaskVersionPage,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_HISTORY_TASKS,/history,GET,/v1/tasks/{taskId}/versions,listTaskVersions,employee;director;executive;admin,owner or authorized management audit scope,safe_read,none,NONE,TaskVersionPage,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_CASE_DETAIL,/ai-cases/:taskId,GET,/v1/tasks/{taskId}/versions/{versionNo},getTaskVersion,employee;director;executive;admin,owner or authorized management audit scope,safe_read,none,NONE,TaskVersion,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_HISTORY_TASKS,/history,GET,/v1/tasks/{taskId}/versions/{versionNo},getTaskVersion,employee;director;executive;admin,owner or authorized management audit scope,safe_read,none,NONE,TaskVersion,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
