screen_id,screen_name,route,route_status,route_class,allowed_roles_frontend,api_roles_observed,platform,api_operation_ids,notes
SCR_DIRECTOR_DASH,Director Dashboard,/director,SAFE_ENGINEERING_DEFAULT,ROLE_DIRECTOR,director,director,Desktop/Web primary,getDirectorDashboard;listDirectorateEmployees;getDirectorEmployeeDetail,Frontend guard is UX-only; backend authorization remains authoritative.
SCR_EXEC_DASH,Executive Dashboard,/executive,SAFE_ENGINEERING_DEFAULT,ROLE_EXECUTIVE,executive,executive,Desktop/Web primary,getExecutiveDashboard;getExecutiveDirectorateDetail;getExecutiveEmployeeDetail,Frontend guard is UX-only; backend authorization remains authoritative.
SCR_ADMIN_PANEL,Admin Panel,/admin,SAFE_ENGINEERING_DEFAULT,ROLE_ADMIN_SHELL,admin,admin,Desktop/Web primary,NONE_SHELL_ONLY,Admin shell only; child routes own data.
SCR_ADMIN_USERS,Admin — Users & Roles,/admin/users,SAFE_ENGINEERING_DEFAULT,ROLE_ADMIN,admin,admin,Desktop/Web,listAdminEmployees;updateAdminEmployee,Frontend guard is UX-only; backend authorization remains authoritative.
SCR_ADMIN_ORG,Admin — Org Structure,/admin/org,SAFE_ENGINEERING_DEFAULT,ROLE_ADMIN,admin,admin,Desktop/Web,listAdminDirectorates;createDirectorate;updateDirectorate,Frontend guard is UX-only; backend authorization remains authoritative.
SCR_ADMIN_CALENDAR,Admin — Corporate Calendar,/admin/calendar,SAFE_ENGINEERING_DEFAULT,ROLE_ADMIN,admin,admin,Desktop/Web,getCorporateCalendar;setCorporateCalendarDay,Frontend guard is UX-only; backend authorization remains authoritative.
SCR_ADMIN_TAXONOMY,Admin — Taxonomy,/admin/taxonomy,SAFE_ENGINEERING_DEFAULT,ROLE_ADMIN,admin,admin,Desktop/Web,listTaxonomyVersions;createTaxonomyVersion;getTaxonomyVersion;activateTaxonomyVersion;createTaxonomyCategory;updateTaxonomyCategory;createTaxonomySubcategory;updateTaxonomySubcategory,Frontend guard is UX-only; backend authorization remains authoritative.
SCR_ADMIN_TOOLS,Admin — AI Tools Directory,/admin/tools,SAFE_ENGINEERING_DEFAULT,ROLE_ADMIN,admin,admin,Desktop/Web,listAdminTools;createAdminTool;updateAdminTool;listUnrecognizedTools,Frontend guard is UX-only; backend authorization remains authoritative.
SCR_ADMIN_AUDIT,Admin — Audit / Technical Trace,/admin/audit,SAFE_ENGINEERING_DEFAULT,ROLE_ADMIN,admin,admin,Desktop/Web,listAuditLog;getTaskScoringTrace,Frontend guard is UX-only; backend authorization remains authoritative.
SCR_ADMIN_EXPORT,Management Export,/exports,SAFE_ENGINEERING_DEFAULT,ROLE_SCOPED,director;executive;admin,admin;director;executive,Desktop/Web,createExport;getExportStatus;downloadExport,Frontend guard is UX-only; backend authorization remains authoritative.
