requirement_id,domain,release_priority,normalized_requirement,stage10_artifacts,stage10_status,test_contract_status,notes
PRD-TASK-011,AI task lifecycle,P0,System generates a concise normalized description that the employee does not directly edit.,10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/FORM_CONTRACTS.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FETCHING_AND_API_CLIENT.md; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-TASK-012,AI task lifecycle,P0,System assigns category/subcategory/tags and maps mentioned AI tools.,10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/FORM_CONTRACTS.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FETCHING_AND_API_CLIENT.md; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-TASK-013,AI task lifecycle,P0,System assigns Complexity C1–C5; numerical points come from fixed backend mapping.,10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/FORM_CONTRACTS.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FETCHING_AND_API_CLIENT.md; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-TASK-014,AI task lifecycle,P0,Accepted task is matched to active Monthly Goals and triggers game/progress updates.,10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/FORM_CONTRACTS.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FETCHING_AND_API_CLIENT.md; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-TASK-015,AI task lifecycle,P0,"Post-task result shows points, C-level, normalized description, goal contribution, Evolution XP impact and mascot reaction.",10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/FORM_CONTRACTS.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FETCHING_AND_API_CLIENT.md; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-TASK-016,AI task lifecycle,P0,Category/subcategory/tool detail is available through a details action instead of overloading the compact result card.,10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/FORM_CONTRACTS.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FETCHING_AND_API_CLIENT.md; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-TASK-017,AI task lifecycle,P0,Task date equals application registration date and cannot be backdated.,10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/FORM_CONTRACTS.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FETCHING_AND_API_CLIENT.md; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-TASK-018,AI task lifecycle,P0,Editing a task creates/recalculates a new version; historical versions remain preserved.,10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/FORM_CONTRACTS.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FETCHING_AND_API_CLIENT.md; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-TASK-019,AI task lifecycle,P0,Soft deletion excludes a task from current views/calculations while retaining audit/version history and ledger correction semantics.,10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/FORM_CONTRACTS.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FETCHING_AND_API_CLIENT.md; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-RANK-001,Ratings & privacy,P0,Individual public leaderboard is based on Annual Score for the current calendar year.,10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/ROUTE_MAP.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-RANK-002,Ratings & privacy,P0,"Annual Score/current leaderboard reset January 1; pet, HP, Evolution XP, history, achievements and cosmetics persist.",10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/ROUTE_MAP.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-RANK-003,Ratings & privacy,P0,Past-year top employees may retain visual status badges/cosmetics without gameplay advantage.,10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/ROUTE_MAP.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-RANK-004,Ratings & privacy,P0,"Mandatory public employee fields include rank, name, Annual Score, pet appearance and prior-year status rewards.",10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/ROUTE_MAP.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-RANK-005,Ratings & privacy,P0,Directorate ranking uses Average Directorate Score based on annual directorate task/goal points and authorized employee denominator as defined by Product semantics.,10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/ROUTE_MAP.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-RANK-006,Ratings & privacy,P0,"Directorate card exposes rank, Average Score, Total Score and authorized employee count.",10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/ROUTE_MAP.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-RANK-007,Ratings & privacy,P0,Directorate card includes internal employee leaderboard; profile detail respects peer privacy level.,10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/ROUTE_MAP.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-RANK-008,Ratings & privacy,P0,Each task/version preserves directorate_id_at_task_time; pre-transfer points remain attributed historically.,10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/ROUTE_MAP.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-RANK-009,Ratings & privacy,P0,Terminated employees leave current individual ranking/current denominator while historical analytics remain.,10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/ROUTE_MAP.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-RANK-010,Ratings & privacy,P0,Admin can hide terminated/inactive profiles without deleting history.,10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/ROUTE_MAP.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-PRIV-001,Ratings & privacy,P0,"Peer privacy levels are Closed, Standard (default) and Open.",10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/ROUTE_MAP.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-PRIV-002,Ratings & privacy,P0,Closed exposes only mandatory public fields.,10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/ROUTE_MAP.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-PRIV-003,Ratings & privacy,P0,"Standard adds approved aggregates such as task count, complexity distribution, streak, goals, achievements and AI tools.",10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/ROUTE_MAP.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-PRIV-004,Ratings & privacy,P0,"Open additionally exposes normalized AI-case description, tool(s), Complexity and score.",10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/ROUTE_MAP.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-PRIV-005,Ratings & privacy,P0,"Raw input, clarification log and task links are never exposed to peers, including Open privacy.",10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/ROUTE_MAP.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-PRIV-006,Ratings & privacy,P0,Employee may change privacy at any time; the change applies immediately.,10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/ROUTE_MAP.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-PRIV-007,Ratings & privacy,P0,Peer privacy does not restrict authorized Director/Executive/Admin scope.,10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/ROUTE_MAP.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-DASH-001,Dashboards & history,P0,Personal Dashboard includes Annual Score.,10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-DASH-002,Dashboards & history,P0,Personal Dashboard includes Lifetime Task Score / Evolution XP.,10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-DASH-003,Dashboards & history,P0,"Personal Dashboard includes task count, Complexity distribution and average Complexity.",10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-DASH-004,Dashboards & history,P0,Personal Dashboard includes AI-active days and current/best streak.,10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-DASH-005,Dashboards & history,P0,Personal Dashboard includes Monthly Goals progress.,10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-DASH-006,Dashboards & history,P0,Personal Dashboard includes AI Tools usage and category/subcategory breakdown.,10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-DASH-007,Dashboards & history,P0,"Personal Dashboard includes activity trend, pet state/evolution and earned achievements/cosmetics.",10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-DASH-008,Dashboards & history,P0,Benchmark comparison metrics do not generate points.,10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-HIST-001,Dashboards & history,P0,History has separate Tasks and Events views.,10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-HIST-002,Dashboards & history,P0,"Task history supports search and filters for period, Complexity, tool, taxonomy, Monthly Goal, status and score.",10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-HIST-003,Dashboards & history,P0,"Event history covers key progress events including Score/XP, goals, streak, evolution, achievements/cosmetics, significant HP transitions, coma/recovery and vacation toggles.",10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
