screen_id,screen_name,route,route_status,roles,platform,state_source,normalized_states,frontend_component_boundary,visual_component_refs,design_token_refs,asset_contract,api_operation_ids,api_object_scope,test_contract,visual_regression_reference,notes
SCR_CASE_DETAIL,AI Case Detail,/ai-cases/:taskId,SAFE_ENGINEERING_DEFAULT,employee;director;executive;admin,Mobile/Web,Screen_State_Matrix.xlsx rows where Screen ID=SCR_CASE_DETAIL,loading; default; historical version; permission denied; network error,CaseDetailPage + TaskVersionViewer + OwnerActions,AI Case Card + History Card + Header/Back,Design_Tokens.json: color-background-primary;color-surface-primary;color-text-primary;color-text-secondary;color-action-primary;spacing-*;radius-*;color-state-error,Asset_Manifest.xlsx runtime path only; direct file must be under 08_PRODUCTION_EXPORTS/; no deprecated/proxy asset,getTask;softDeleteTask;listTaskVersions;getTaskVersion;getTaskResult,owner only;owner or authorized management audit scope;owner or authorized management scope,FE-T-CASE-DETAIL,Golden: component/state regression,Canonical screen-state rows + current owner/source precedence.
SCR_CASE_EDIT,Edit AI Case,/ai-cases/:taskId/edit,SAFE_ENGINEERING_DEFAULT,employee,Mobile/Web,Screen_State_Matrix.xlsx rows where Screen ID=SCR_CASE_EDIT,default edit; validation error; save processing; network error; permission denied,CaseEditPage + CaseEditForm + VersionConflictFeedback,Inputs + Primary Button + Error/Conflict feedback,Design_Tokens.json: color-background-primary;color-surface-primary;color-text-primary;color-text-secondary;color-action-primary;spacing-*;radius-*;color-state-error,Asset_Manifest.xlsx runtime path only; direct file must be under 08_PRODUCTION_EXPORTS/; no deprecated/proxy asset,editTask,owner only,FE-T-CASE-EDIT,Golden: component/state regression,Canonical screen-state rows + current owner/source precedence.
SCR_HISTORY_TASKS,History — Tasks,/history,SAFE_ENGINEERING_DEFAULT,employee,Mobile/Web,Screen_State_Matrix.xlsx rows where Screen ID=SCR_HISTORY_TASKS,loading; populated; empty; filtered; no filter results; deleted item excluded; task/version detail; network error,TaskHistoryPage + HistoryFilters + HistoryList,Bottom Navigation + History Cards + filter controls,Design_Tokens.json: color-background-primary;color-surface-primary;color-text-primary;color-text-secondary;color-action-primary;spacing-*;radius-*;color-state-error;color-state-success,Asset_Manifest.xlsx runtime path only; direct file must be under 08_PRODUCTION_EXPORTS/; no deprecated/proxy asset,softDeleteTask;listTaskVersions;getTaskVersion;listMyTaskHistory,owner only;owner or authorized management audit scope;self,FE-T-HISTORY,Golden: History,Canonical screen-state rows + current owner/source precedence.
SCR_HISTORY_EVENTS,History — Events,/history/events,SAFE_ENGINEERING_DEFAULT,employee,Mobile/Web,Screen_State_Matrix.xlsx rows where Screen ID=SCR_HISTORY_EVENTS,loading; populated; empty; event detail; network error,EventHistoryPage + EventTimeline,History Cards / Information Panels + Header/Back,Design_Tokens.json: color-background-primary;color-surface-primary;color-text-primary;color-text-secondary;color-action-primary;spacing-*;radius-*;color-state-error,Asset_Manifest.xlsx runtime path only; direct file must be under 08_PRODUCTION_EXPORTS/; no deprecated/proxy asset,listMyProgressEvents,self,FE-T-HISTORY,Golden: component/state regression,Canonical screen-state rows + current owner/source precedence.
SCR_GOALS,Monthly Goals — Active,/goals,SAFE_ENGINEERING_DEFAULT,employee,Mobile/Web,Screen_State_Matrix.xlsx rows where Screen ID=SCR_GOALS,loading; active progress; partial complete; all complete; month close; new cycle; history; network/error,GoalsPage + GoalProgressList + GoalHistory,Goal/progress cards + Information Panels,Design_Tokens.json: color-background-primary;color-surface-primary;color-text-primary;color-text-secondary;color-action-primary;spacing-*;radius-*;color-state-error;color-state-success,Asset_Manifest.xlsx runtime path only; direct file must be under 08_PRODUCTION_EXPORTS/; no deprecated/proxy asset,getCurrentGoals;submitGoalSetup;listGoalHistory,self,FE-T-GOALS,Golden: Goals,Canonical screen-state rows + current owner/source precedence.
SCR_RATING_EMPLOYEES,Rating — Employees,/rating,SAFE_ENGINEERING_DEFAULT,employee;director;executive;admin,Mobile/Web,Screen_State_Matrix.xlsx rows where Screen ID=SCR_RATING_EMPLOYEES,employees; loading; empty/no result; own rank offscreen; search; filters; network error,EmployeeRatingPage + RatingFilters + RatingList + OwnRankAnchor,Bottom Navigation + list/cards + filter/search controls,Design_Tokens.json: color-background-primary;color-surface-primary;color-text-primary;color-text-secondary;color-action-primary;spacing-*;radius-*;color-state-error;color-state-success,Asset_Manifest.xlsx runtime path only; direct file must be under 08_PRODUCTION_EXPORTS/; no deprecated/proxy asset,listEmployeeRating,authenticated rating scope,FE-T-RATING,Golden: Rating,Canonical screen-state rows + current owner/source precedence.
SCR_RATING_DIRECTORATES,Rating — Directorates,/rating/directorates,SAFE_ENGINEERING_DEFAULT,employee;director;executive;admin,Mobile/Web,Screen_State_Matrix.xlsx rows where Screen ID=SCR_RATING_DIRECTORATES,directorates; loading; no result; search/filter; network error,DirectorateRatingPage + RatingFilters + DirectorateList,Cards/list + filter/search controls,Design_Tokens.json: color-background-primary;color-surface-primary;color-text-primary;color-text-secondary;color-action-primary;spacing-*;radius-*;color-state-error;color-state-success,Asset_Manifest.xlsx runtime path only; direct file must be under 08_PRODUCTION_EXPORTS/; no deprecated/proxy asset,listDirectorateRating,authenticated rating scope,FE-T-RATING,Golden: Rating,Canonical screen-state rows + current owner/source precedence.
SCR_COMPANY_ANALYTICS,Rating — Analytics,/rating/analytics,SAFE_ENGINEERING_DEFAULT,employee;director;executive;admin,Web/Mobile,Screen_State_Matrix.xlsx rows where Screen ID=SCR_COMPANY_ANALYTICS,company analytics; loading; no data/no result; network error,CompanyAnalyticsPage + AggregateCharts + PeriodFilter,Information Panels + charts/tables,Design_Tokens.json: color-background-primary;color-surface-primary;color-text-primary;color-text-secondary;color-action-primary;spacing-*;radius-*;color-state-error;color-state-success,Asset_Manifest.xlsx runtime path only; direct file must be under 08_PRODUCTION_EXPORTS/; no deprecated/proxy asset,getCompanyAnalytics,aggregate/anonymous company scope,FE-T-ANALYTICS,Golden: Rating/analytics reference where present,Canonical screen-state rows + current owner/source precedence.
SCR_DIRECTORATE_CARD,Directorate Card,/rating/directorates/:directorateId,SAFE_ENGINEERING_DEFAULT,employee;director;executive;admin,Mobile/Web,Screen_State_Matrix.xlsx rows where Screen ID=SCR_DIRECTORATE_CARD,loading; loaded; no data; network error; permission as API scope requires,DirectorateCardPage + DirectorateSummary,Information Panels + list/cards + Header/Back,Design_Tokens.json: color-background-primary;color-surface-primary;color-text-primary;color-text-secondary;color-action-primary;spacing-*;radius-*;color-state-error,Asset_Manifest.xlsx runtime path only; direct file must be under 08_PRODUCTION_EXPORTS/; no deprecated/proxy asset,getDirectorateCard;getExecutiveDirectorateDetail,authenticated rating scope;whole company directorate drilldown,FE-T-RATING,Golden: component/state regression,Canonical screen-state rows + current owner/source precedence.
SCR_PUBLIC_PROFILE,Public Employee Profile,/profiles/:employeeId,SAFE_ENGINEERING_DEFAULT,employee;director;executive;admin,Mobile/Web,Screen_State_Matrix.xlsx rows where Screen ID=SCR_PUBLIC_PROFILE,loading; privacy-projected content; hidden/limited; no data; network error,PublicProfilePage + PrivacyProjectedProfile,Information Panels + achievements/tool summaries where allowed,Design_Tokens.json: color-background-primary;color-surface-primary;color-text-primary;color-text-secondary;color-action-primary;spacing-*;radius-*;color-state-error,Asset_Manifest.xlsx runtime path only; direct file must be under 08_PRODUCTION_EXPORTS/; no deprecated/proxy asset,getPublicEmployeeProfile;getDirectorEmployeeDetail;getExecutiveEmployeeDetail,employee in own directorate;peer privacy or privileged management scope;whole company employee drilldown,FE-T-PRIVACY,Golden: Profile,Canonical screen-state rows + current owner/source precedence.
SCR_PROFILE_SELF,Profile / Personal Dashboard,/profile,SAFE_ENGINEERING_DEFAULT,employee;director;executive;admin,Mobile/Web,Screen_State_Matrix.xlsx rows where Screen ID=SCR_PROFILE_SELF,loading; populated; no data; network error,SelfProfilePage + PersonalDashboard + ProfileActions,Bottom Navigation when employee shell + Information Panels,Design_Tokens.json: color-background-primary;color-surface-primary;color-text-primary;color-text-secondary;color-action-primary;spacing-*;radius-*;color-state-error,Asset_Manifest.xlsx runtime path only; direct file must be under 08_PRODUCTION_EXPORTS/; no deprecated/proxy asset,getCurrentUser;getPersonalDashboard,self,FE-T-PROFILE,Golden: Profile,Canonical screen-state rows + current owner/source precedence.
SCR_PRIVACY,Privacy Settings,/profile/privacy,SAFE_ENGINEERING_DEFAULT,employee;director;executive;admin,Mobile/Web,Screen_State_Matrix.xlsx rows where Screen ID=SCR_PRIVACY,closed; standard; open; save processing; network error,PrivacySettingsPage + PrivacyLevelForm,Selection controls + Primary Button + Header/Back,Design_Tokens.json: color-background-primary;color-surface-primary;color-text-primary;color-text-secondary;color-action-primary;spacing-*;radius-*;color-state-error,Asset_Manifest.xlsx runtime path only; direct file must be under 08_PRODUCTION_EXPORTS/; no deprecated/proxy asset,updatePrivacyLevel,self,FE-T-PRIVACY,Golden: component/state regression,Canonical screen-state rows + current owner/source precedence.
SCR_VACATION,Vacation Settings,/profile/vacation,SAFE_ENGINEERING_DEFAULT,employee;director;executive;admin,Mobile/Web,Screen_State_Matrix.xlsx rows where Screen ID=SCR_VACATION,vacation off; vacation on; update processing; network error,VacationSettingsPage + VacationToggleForm,Toggle/selection control + Information Panel + Header/Back,Design_Tokens.json: color-background-primary;color-surface-primary;color-text-primary;color-text-secondary;color-action-primary;spacing-*;radius-*;color-state-error,Asset_Manifest.xlsx runtime path only; direct file must be under 08_PRODUCTION_EXPORTS/; no deprecated/proxy asset,setVacationState,self,FE-T-VACATION,Golden: component/state regression,Canonical screen-state rows + current owner/source precedence.
SCR_ACHIEVEMENTS,Achievements / Collection,/profile/achievements,SAFE_ENGINEERING_DEFAULT,employee;director;executive;admin,Mobile/Web,Screen_State_Matrix.xlsx rows where Screen ID=SCR_ACHIEVEMENTS,loading; populated/earned; empty; network error,AchievementsPage + EarnedAchievementList,Achievement Cards; generic fallback artwork when release art absent,Design_Tokens.json: color-background-primary;color-surface-primary;color-text-primary;color-text-secondary;color-action-primary;spacing-*;radius-*;color-state-error,Asset_Manifest.xlsx runtime path only; direct file must be under 08_PRODUCTION_EXPORTS/; no deprecated/proxy asset; release art may use generic earned-item fallback if final art absent,listMyAchievements,self,FE-T-ACHIEVEMENTS,Golden: component/state regression,Canonical screen-state rows + current owner/source precedence.
SCR_SCORING_INFO,How Scoring Works,/profile/scoring,SAFE_ENGINEERING_DEFAULT,employee;director;executive;admin,Mobile/Web,Screen_State_Matrix.xlsx rows where Screen ID=SCR_SCORING_INFO,loading; content; network error,ScoringInfoPage + ScoringExplanation,Information Panels + Header/Back,Design_Tokens.json: color-background-primary;color-surface-primary;color-text-primary;color-text-secondary;color-action-primary;spacing-*;radius-*;color-state-error,Asset_Manifest.xlsx runtime path only; direct file must be under 08_PRODUCTION_EXPORTS/; no deprecated/proxy asset,getScoringInfo,authenticated,FE-T-SCORING-INFO,Golden: component/state regression,Canonical screen-state rows + current owner/source precedence.
SCR_NOTIFICATIONS,Notifications,/notifications,SAFE_ENGINEERING_DEFAULT,employee;director;executive;admin,Mobile/Web,Screen_State_Matrix.xlsx rows where Screen ID=SCR_NOTIFICATIONS,loading; populated; empty; unread/read transition; network error,NotificationsPage + NotificationList,Notification Indicator + list/cards + Header/Back,Design_Tokens.json: color-background-primary;color-surface-primary;color-text-primary;color-text-secondary;color-action-primary;spacing-*;radius-*;color-state-error,Asset_Manifest.xlsx runtime path only; direct file must be under 08_PRODUCTION_EXPORTS/; no deprecated/proxy asset,listNotifications;markNotificationRead,self;self notification,FE-T-NOTIFICATIONS,Golden: component/state regression,Canonical screen-state rows + current owner/source precedence.
SCR_DIRECTOR_DASH,Director Dashboard,/director,SAFE_ENGINEERING_DEFAULT,director,Desktop/Web primary,Screen_State_Matrix.xlsx rows where Screen ID=SCR_DIRECTOR_DASH,loading; populated; no data; filters/period; employee drilldown; export pending/error as linked flow; network error,DirectorDashboardPage + KPIGrid + EmployeeList + DrilldownLinks,Information Panels + tables/charts + export action,Design_Tokens.json: color-background-primary;color-surface-primary;color-text-primary;color-text-secondary;color-action-primary;spacing-*;radius-*;color-state-error,Asset_Manifest.xlsx runtime path only; direct file must be under 08_PRODUCTION_EXPORTS/; no deprecated/proxy asset,getDirectorDashboard;listDirectorateEmployees;getDirectorEmployeeDetail,employee in own directorate;own directorate only,FE-T-DIRECTOR,Golden: Director,Canonical screen-state rows + current owner/source precedence.
SCR_EXEC_DASH,Executive Dashboard,/executive,SAFE_ENGINEERING_DEFAULT,executive,Desktop/Web primary,Screen_State_Matrix.xlsx rows where Screen ID=SCR_EXEC_DASH,loading; populated; no data; directorate drilldown; employee drilldown; network error,ExecutiveDashboardPage + KPIGrid + DirectorateList + DrilldownLinks,Information Panels + tables/charts,Design_Tokens.json: color-background-primary;color-surface-primary;color-text-primary;color-text-secondary;color-action-primary;spacing-*;radius-*;color-state-error,Asset_Manifest.xlsx runtime path only; direct file must be under 08_PRODUCTION_EXPORTS/; no deprecated/proxy asset,getExecutiveDashboard;getExecutiveDirectorateDetail;getExecutiveEmployeeDetail,whole company;whole company directorate drilldown;whole company employee drilldown,FE-T-EXECUTIVE,Golden: management regression,Canonical screen-state rows + current owner/source precedence.
SCR_ADMIN_PANEL,Admin Panel,/admin,SAFE_ENGINEERING_DEFAULT,admin,Desktop/Web primary,Screen_State_Matrix.xlsx rows where Screen ID=SCR_ADMIN_PANEL,navigation shell; route-level loading/error boundary only; no independent business dataset,AdminShellPage + AdminNavigation,Desktop navigation + Information Panels,Design_Tokens.json: color-background-primary;color-surface-primary;color-text-primary;color-text-secondary;color-action-primary;spacing-*;radius-*;color-state-error,Asset_Manifest.xlsx runtime path only; direct file must be under 08_PRODUCTION_EXPORTS/; no deprecated/proxy asset; iconography via manifest runtime SVG,NONE_SHELL_ONLY,whole company admin shell,FE-T-ADMIN,Golden: Admin,Historical candidate excluded from routing.
SCR_ADMIN_USERS,Admin — Users & Roles,/admin/users,SAFE_ENGINEERING_DEFAULT,admin,Desktop/Web,Screen_State_Matrix.xlsx rows where Screen ID=SCR_ADMIN_USERS,loading; list; empty; create/edit validation; conflict; save processing; network error,AdminUsersPage + UserTable + UserAdminForm,Tables/forms + Primary/Secondary/Destructive actions,Design_Tokens.json: color-background-primary;color-surface-primary;color-text-primary;color-text-secondary;color-action-primary;spacing-*;radius-*;color-state-error,Asset_Manifest.xlsx runtime path only; direct file must be under 08_PRODUCTION_EXPORTS/; no deprecated/proxy asset; iconography via manifest runtime SVG,listAdminEmployees;updateAdminEmployee,whole company admin,FE-T-ADMIN-USERS,Golden: Admin / component regression,Canonical screen-state rows + current owner/source precedence.
SCR_ADMIN_ORG,Admin — Org Structure,/admin/org,SAFE_ENGINEERING_DEFAULT,admin,Desktop/Web,Screen_State_Matrix.xlsx rows where Screen ID=SCR_ADMIN_ORG,loading; list/tree; empty; create/edit validation; conflict; network error,AdminOrgPage + OrgTableTree + OrgForm,Tables/forms + Information Panels,Design_Tokens.json: color-background-primary;color-surface-primary;color-text-primary;color-text-secondary;color-action-primary;spacing-*;radius-*;color-state-error,Asset_Manifest.xlsx runtime path only; direct file must be under 08_PRODUCTION_EXPORTS/; no deprecated/proxy asset; iconography via manifest runtime SVG,listAdminDirectorates;createDirectorate;updateDirectorate,whole company admin,FE-T-ADMIN-ORG,Golden: Admin / component regression,Canonical screen-state rows + current owner/source precedence.
SCR_ADMIN_CALENDAR,Admin — Corporate Calendar,/admin/calendar,SAFE_ENGINEERING_DEFAULT,admin,Desktop/Web,Screen_State_Matrix.xlsx rows where Screen ID=SCR_ADMIN_CALENDAR,loading; calendar/list; validation; conflict; save processing; network error,AdminCalendarPage + CalendarEditor,Forms/tables + status feedback,Design_Tokens.json: color-background-primary;color-surface-primary;color-text-primary;color-text-secondary;color-action-primary;spacing-*;radius-*;color-state-error,Asset_Manifest.xlsx runtime path only; direct file must be under 08_PRODUCTION_EXPORTS/; no deprecated/proxy asset; iconography via manifest runtime SVG,getCorporateCalendar;setCorporateCalendarDay,whole company admin,FE-T-ADMIN-CALENDAR,Golden: Admin / component regression,Canonical screen-state rows + current owner/source precedence.
SCR_ADMIN_TAXONOMY,Admin — Taxonomy,/admin/taxonomy,SAFE_ENGINEERING_DEFAULT,admin,Desktop/Web,Screen_State_Matrix.xlsx rows where Screen ID=SCR_ADMIN_TAXONOMY,loading; versions; category/subcategory CRUD; validation; conflict; activation; network error,AdminTaxonomyPage + TaxonomyTree + VersionActions,Tables/forms + status feedback,Design_Tokens.json: color-background-primary;color-surface-primary;color-text-primary;color-text-secondary;color-action-primary;spacing-*;radius-*;color-state-error,Asset_Manifest.xlsx runtime path only; direct file must be under 08_PRODUCTION_EXPORTS/; no deprecated/proxy asset; iconography via manifest runtime SVG,listTaxonomyVersions;createTaxonomyVersion;getTaxonomyVersion;activateTaxonomyVersion;createTaxonomyCategory;updateTaxonomyCategory;createTaxonomySubcategory;updateTaxonomySubcategory,whole company admin,FE-T-ADMIN-TAXONOMY,Golden: Admin / component regression,Canonical screen-state rows + current owner/source precedence.
SCR_ADMIN_TOOLS,Admin — AI Tools Directory,/admin/tools,SAFE_ENGINEERING_DEFAULT,admin,Desktop/Web,Screen_State_Matrix.xlsx rows where Screen ID=SCR_ADMIN_TOOLS,loading; list; unrecognized list; create/edit/deactivate; validation; conflict; network error,AdminToolsPage + ToolTable + ToolForm + UnrecognizedToolQueue,Tables/forms + status feedback,Design_Tokens.json: color-background-primary;color-surface-primary;color-text-primary;color-text-secondary;color-action-primary;spacing-*;radius-*;color-state-error,Asset_Manifest.xlsx runtime path only; direct file must be under 08_PRODUCTION_EXPORTS/; no deprecated/proxy asset; iconography via manifest runtime SVG,listAdminTools;createAdminTool;updateAdminTool;listUnrecognizedTools,whole company admin,FE-T-ADMIN-TOOLS,Golden: Admin / component regression,Canonical screen-state rows + current owner/source precedence.
SCR_ADMIN_AUDIT,Admin — Audit / Technical Trace,/admin/audit,SAFE_ENGINEERING_DEFAULT,admin,Desktop/Web,Screen_State_Matrix.xlsx rows where Screen ID=SCR_ADMIN_AUDIT,loading; populated; empty; filters; task technical trace; network error,AdminAuditPage + AuditTable + TechnicalTraceViewer,Tables/filters + Information Panels,Design_Tokens.json: color-background-primary;color-surface-primary;color-text-primary;color-text-secondary;color-action-primary;spacing-*;radius-*;color-state-error,Asset_Manifest.xlsx runtime path only; direct file must be under 08_PRODUCTION_EXPORTS/; no deprecated/proxy asset; iconography via manifest runtime SVG,listAuditLog;getTaskScoringTrace,whole company admin;whole company technical trace,FE-T-ADMIN-AUDIT,Golden: Admin / component regression,Canonical screen-state rows + current owner/source precedence.
SCR_ADMIN_EXPORT,Management Export,/exports,SAFE_ENGINEERING_DEFAULT,director;executive;admin,Desktop/Web,Screen_State_Matrix.xlsx rows where Screen ID=SCR_ADMIN_EXPORT,create; queued/pending; ready; failed; download; network error; permission re-check,ExportPage + ExportRequestForm + ExportStatus,Forms/list + Processing/Error feedback,Design_Tokens.json: color-background-primary;color-surface-primary;color-text-primary;color-text-secondary;color-action-primary;spacing-*;radius-*;color-state-error;color-state-success,Asset_Manifest.xlsx runtime path only; direct file must be under 08_PRODUCTION_EXPORTS/; no deprecated/proxy asset; iconography via manifest runtime SVG,createExport;getExportStatus;downloadExport,re-authorized request owner/scope;request owner/authorized scope;role-derived directorate/company export scope,FE-T-EXPORT,Golden: Admin/management regression,Canonical screen-state rows + current owner/source precedence.
