requirement_id,feature_group_id,priority,critical,test_ids,suite_id,acceptance_coverage,automation_target,external_evidence,source_file,source_section,notes
PRD-SCOPE-011,FG-CORE,P0,YES,REQT-PRD-SCOPE-011,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.1,Automated acceptance test required before release candidate.
PRD-SCOPE-012,FG-CORE,P0,YES,REQT-PRD-SCOPE-012,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.1,Automated acceptance test required before release candidate.
PRD-SCOPE-013,FG-CORE,P0,YES,REQT-PRD-SCOPE-013,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.1,Automated acceptance test required before release candidate.
PRD-SCOPE-014,FG-CORE,P0,YES,REQT-PRD-SCOPE-014,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.1; §22,Automated acceptance test required before release candidate.
PRD-SCOPE-015,FG-CORE,P0,YES,REQT-PRD-SCOPE-015,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.1; §24,Automated acceptance test required before release candidate.
PRD-OUT-001,FG-OOS,OUT_OF_SCOPE_MVP,NO,REQT-PRD-OUT-001,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.2,Verify capability remains absent/disabled in MVP.
PRD-OUT-002,FG-OOS,OUT_OF_SCOPE_MVP,NO,REQT-PRD-OUT-002,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.2,Verify capability remains absent/disabled in MVP.
PRD-OUT-003,FG-OOS,OUT_OF_SCOPE_MVP,NO,REQT-PRD-OUT-003,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.2,Verify capability remains absent/disabled in MVP.
PRD-OUT-004,FG-OOS,OUT_OF_SCOPE_MVP,NO,REQT-PRD-OUT-004,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.2,Verify capability remains absent/disabled in MVP.
PRD-OUT-005,FG-OOS,OUT_OF_SCOPE_MVP,NO,REQT-PRD-OUT-005,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.2; §6.1,Verify capability remains absent/disabled in MVP.
PRD-OUT-006,FG-OOS,OUT_OF_SCOPE_MVP,NO,REQT-PRD-OUT-006,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.2,Verify capability remains absent/disabled in MVP.
PRD-OUT-007,FG-OOS,OUT_OF_SCOPE_MVP,NO,REQT-PRD-OUT-007,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.2,Verify capability remains absent/disabled in MVP.
PRD-OUT-008,FG-OOS,OUT_OF_SCOPE_MVP,NO,REQT-PRD-OUT-008,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.2,Verify capability remains absent/disabled in MVP.
PRD-OUT-009,FG-OOS,OUT_OF_SCOPE_MVP,NO,REQT-PRD-OUT-009,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.2; §9,Verify capability remains absent/disabled in MVP.
PRD-OUT-010,FG-OOS,OUT_OF_SCOPE_MVP,NO,REQT-PRD-OUT-010,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.2; §18,Verify capability remains absent/disabled in MVP.
PRD-OUT-011,FG-OOS,OUT_OF_SCOPE_MVP,NO,REQT-PRD-OUT-011,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§10,Verify capability remains absent/disabled in MVP.
PRD-RBAC-001,FG-AUTH,P0,YES,REQT-PRD-RBAC-001,QA-S02,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§4,Automated acceptance test required before release candidate.
PRD-RBAC-002,FG-AUTH,P0,YES,REQT-PRD-RBAC-002,QA-S02,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§4,Automated acceptance test required before release candidate.
PRD-RBAC-003,FG-AUTH,P0,YES,REQT-PRD-RBAC-003,QA-S02,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§4; §17.1; §22,Automated acceptance test required before release candidate.
PRD-RBAC-004,FG-AUTH,P0,YES,REQT-PRD-RBAC-004,QA-S02,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§4; §17.1,Automated acceptance test required before release candidate.
PRD-RBAC-005,FG-AUTH,P0,YES,REQT-PRD-RBAC-005,QA-S02,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§4; §17.2,Automated acceptance test required before release candidate.
PRD-RBAC-006,FG-AUTH,P0,YES,REQT-PRD-RBAC-006,QA-S02,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§4; §17.2,Automated acceptance test required before release candidate.
PRD-RBAC-007,FG-AUTH,P0,YES,REQT-PRD-RBAC-007,QA-S02,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§4; §17.3; §21,Automated acceptance test required before release candidate.
PRD-RBAC-008,FG-AUTH,P0,YES,REQT-PRD-RBAC-008,QA-S02,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§4; §17.3,Automated acceptance test required before release candidate.
PRD-RBAC-009,FG-AUTH,P0,YES,REQT-PRD-RBAC-009,QA-S02,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§4.1; §14,Automated acceptance test required before release candidate.
PRD-RBAC-010,FG-AUTH,P0,YES,REQT-PRD-RBAC-010,QA-S02,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§4.1; §17.1,Automated acceptance test required before release candidate.
PRD-RBAC-011,FG-AUTH,P0,YES,REQT-PRD-RBAC-011,QA-S02,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§4.1,Automated acceptance test required before release candidate.
PRD-RBAC-012,FG-AUTH,P0,YES,REQT-PRD-RBAC-012,QA-S02,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§4.1,Automated acceptance test required before release candidate.
PRD-RBAC-013,FG-AUTH,P0,YES,REQT-PRD-RBAC-013,QA-S02,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§4.1; §22,Automated acceptance test required before release candidate.
PRD-RBAC-014,FG-AUTH,P0,YES,REQT-PRD-RBAC-014,QA-S02,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,Appendix C,Automated acceptance test required before release candidate.
PRD-AUTH-001,FG-AUTH,P0,YES,REQT-PRD-AUTH-001,QA-S02,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§5.1,Automated acceptance test required before release candidate.
PRD-AUTH-002,FG-AUTH,P0,YES,REQT-PRD-AUTH-002,QA-S02,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§5.1,Automated acceptance test required before release candidate.
PRD-AUTH-003,FG-AUTH,P0,YES,REQT-PRD-AUTH-003,QA-S02,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§5.1,Automated acceptance test required before release candidate.
PRD-AUTH-004,FG-AUTH,P0,YES,REQT-PRD-AUTH-004,QA-S02,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§5.1,Automated acceptance test required before release candidate.
PRD-AUTH-005,FG-AUTH,P0,YES,REQT-PRD-AUTH-005,QA-S02,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§5.1,Automated acceptance test required before release candidate.
PRD-AUTH-006,FG-AUTH,P0,YES,REQT-PRD-AUTH-006,QA-S02,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§5.1; §12,Automated acceptance test required before release candidate.
PRD-AUTH-007,FG-AUTH,P0_RISK_WITH_FUTURE_HARDENING,YES,REQT-PRD-AUTH-007,QA-S02,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§5.1 Security note,Test current baseline and preserve later hardening gate.
PRD-TASK-001,FG-AICASE,P0,YES,REQT-PRD-TASK-001,QA-S03,COVERED,AUTOMATED,NO,AI_TAMAGOTCHI_VISUAL_PACKAGE_v1.0/00_README/PROJECT_DECISION_OVERRIDE_v2.0.md,§4 Previously approved product/UI decisions,Automated acceptance test required before release candidate.
PRD-TASK-002,FG-AICASE,P0,YES,REQT-PRD-TASK-002,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§6.1,Automated acceptance test required before release candidate.
PRD-TASK-003,FG-AICASE,P0,YES,REQT-PRD-TASK-003,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§6.1,Automated acceptance test required before release candidate.
PRD-TASK-004,FG-AICASE,P0,YES,REQT-PRD-TASK-004,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§6.1,Automated acceptance test required before release candidate.
PRD-TASK-005,FG-AICASE,P0,YES,REQT-PRD-TASK-005,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§6.1,Automated acceptance test required before release candidate.
PRD-TASK-006,FG-AICASE,P0,YES,REQT-PRD-TASK-006,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§6.1,Automated acceptance test required before release candidate.
PRD-TASK-007,FG-AICASE,P0,YES,REQT-PRD-TASK-007,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§6.2,Automated acceptance test required before release candidate.
PRD-TASK-008,FG-AICASE,P0,YES,REQT-PRD-TASK-008,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§6.2,Automated acceptance test required before release candidate.
PRD-TASK-009,FG-AICASE,P0,YES,REQT-PRD-TASK-009,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§6.2,Automated acceptance test required before release candidate.
PRD-TASK-010,FG-AICASE,P0,YES,REQT-PRD-TASK-010,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§6.2; §8,Automated acceptance test required before release candidate.
PRD-TASK-011,FG-AICASE,P0,YES,REQT-PRD-TASK-011,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§2; §6.2,Automated acceptance test required before release candidate.
PRD-TASK-012,FG-AICASE,P0,YES,REQT-PRD-TASK-012,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§6.2,Automated acceptance test required before release candidate.
PRD-TASK-013,FG-AICASE,P0,YES,REQT-PRD-TASK-013,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§6.2; §7,Automated acceptance test required before release candidate.
PRD-TASK-014,FG-AICASE,P0,YES,REQT-PRD-TASK-014,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§6.2,Automated acceptance test required before release candidate.
PRD-TASK-015,FG-AICASE,P0,YES,REQT-PRD-TASK-015,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§6.3,Automated acceptance test required before release candidate.
PRD-TASK-016,FG-AICASE,P0,YES,REQT-PRD-TASK-016,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§6.3,Automated acceptance test required before release candidate.
PRD-TASK-017,FG-AICASE,P0,YES,REQT-PRD-TASK-017,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§9,Automated acceptance test required before release candidate.
PRD-TASK-018,FG-AICASE,P0,YES,REQT-PRD-TASK-018,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§24; Appendix C,Automated acceptance test required before release candidate.
PRD-TASK-019,FG-AICASE,P0,YES,REQT-PRD-TASK-019,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§15; §24; Appendix C,Automated acceptance test required before release candidate.
PRD-AI-001,FG-AICASE,P0,YES,REQT-PRD-AI-001,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§8.1,Automated acceptance test required before release candidate.
PRD-AI-002,FG-AICASE,P0,YES,REQT-PRD-AI-002,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§8.2,Automated acceptance test required before release candidate.
PRD-AI-003,FG-AICASE,P0,YES,REQT-PRD-AI-003,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§8.2,Automated acceptance test required before release candidate.
PRD-AI-004,FG-AICASE,P0,YES,REQT-PRD-AI-004,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§8.2,Automated acceptance test required before release candidate.
PRD-AI-005,FG-AICASE,P0,YES,REQT-PRD-AI-005,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§8.2,Automated acceptance test required before release candidate.
PRD-AI-006,FG-AICASE,P0,YES,REQT-PRD-AI-006,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§8.2,Automated acceptance test required before release candidate.
PRD-AI-007,FG-AICASE,P0,YES,REQT-PRD-AI-007,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§8.3,Automated acceptance test required before release candidate.
PRD-AI-008,FG-AICASE,P0,YES,REQT-PRD-AI-008,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§8.3,Automated acceptance test required before release candidate.
PRD-SCORE-001,FG-AICASE,P0,YES,REQT-PRD-SCORE-001,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§7.1,Automated acceptance test required before release candidate.
PRD-SCORE-002,FG-AICASE,P0,YES,REQT-PRD-SCORE-002,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§7.1; Appendix C,Automated acceptance test required before release candidate.
PRD-SCORE-003,FG-AICASE,P0,YES,REQT-PRD-SCORE-003,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§7.1,Automated acceptance test required before release candidate.
PRD-SCORE-004,FG-AICASE,P0,YES,REQT-PRD-SCORE-004,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§7.1,Automated acceptance test required before release candidate.
PRD-SCORE-005,FG-AICASE,P0,YES,REQT-PRD-SCORE-005,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§7.1,Automated acceptance test required before release candidate.
PRD-SCORE-006,FG-AICASE,P0,YES,REQT-PRD-SCORE-006,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§7.1,Automated acceptance test required before release candidate.
PRD-SCORE-007,FG-AICASE,P0,YES,REQT-PRD-SCORE-007,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§7.1,Automated acceptance test required before release candidate.
PRD-SCORE-008,FG-AICASE,P0,YES,REQT-PRD-SCORE-008,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§7.2,Automated acceptance test required before release candidate.
PRD-SCORE-009,FG-AICASE,P0,YES,REQT-PRD-SCORE-009,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§7.2; §7.4,Automated acceptance test required before release candidate.
PRD-SCORE-010,FG-AICASE,P0,YES,REQT-PRD-SCORE-010,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§7.4,Automated acceptance test required before release candidate.
PRD-SCORE-011,FG-AICASE,P0,YES,REQT-PRD-SCORE-011,QA-S03,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,Appendix C,Automated acceptance test required before release candidate.
PRD-HP-001,FG-GAME,P0,YES,REQT-PRD-HP-001,QA-S04,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§9.1,Automated acceptance test required before release candidate.
PRD-HP-002,FG-GAME,P0,YES,REQT-PRD-HP-002,QA-S04,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§9.1,Automated acceptance test required before release candidate.
PRD-HP-003,FG-GAME,P0,YES,REQT-PRD-HP-003,QA-S04,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§9.1,Automated acceptance test required before release candidate.
PRD-HP-004,FG-GAME,P0,YES,REQT-PRD-HP-004,QA-S04,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§9.1,Automated acceptance test required before release candidate.
PRD-HP-005,FG-GAME,P0,YES,REQT-PRD-HP-005,QA-S04,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§9.1,Automated acceptance test required before release candidate.
PRD-HP-006,FG-GAME,P0,YES,REQT-PRD-HP-006,QA-S04,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§9.1,Automated acceptance test required before release candidate.
PRD-HP-007,FG-GAME,P0,YES,REQT-PRD-HP-007,QA-S04,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§9.1,Automated acceptance test required before release candidate.
PRD-HP-008,FG-GAME,P0,YES,REQT-PRD-HP-008,QA-S04,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§9.2,Automated acceptance test required before release candidate.
PRD-HP-009,FG-GAME,P0,YES,REQT-PRD-HP-009,QA-S04,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§9.2,Automated acceptance test required before release candidate.
PRD-HP-010,FG-GAME,P0,YES,REQT-PRD-HP-010,QA-S04,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§9.2,Automated acceptance test required before release candidate.
PRD-HP-011,FG-GAME,P0,YES,REQT-PRD-HP-011,QA-S04,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§9.2,Automated acceptance test required before release candidate.
PRD-HP-012,FG-GAME,P0,YES,REQT-PRD-HP-012,QA-S04,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§9.2,Automated acceptance test required before release candidate.
PRD-HP-013,FG-GAME,P0,YES,REQT-PRD-HP-013,QA-S04,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§9.3,Automated acceptance test required before release candidate.
PRD-HP-014,FG-GAME,P0,YES,REQT-PRD-HP-014,QA-S04,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§9.3,Automated acceptance test required before release candidate.
PRD-HP-015,FG-GAME,P0,YES,REQT-PRD-HP-015,QA-S04,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§9.3,Automated acceptance test required before release candidate.
PRD-HP-016,FG-GAME,P0,YES,REQT-PRD-HP-016,QA-S04,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§9.4,Automated acceptance test required before release candidate.
PRD-STR-001,FG-GAME,P0,YES,REQT-PRD-STR-001,QA-S04,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§10,Automated acceptance test required before release candidate.
PRD-STR-002,FG-GAME,P0,YES,REQT-PRD-STR-002,QA-S04,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§10,Automated acceptance test required before release candidate.
PRD-STR-003,FG-GAME,P0,YES,REQT-PRD-STR-003,QA-S04,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§10,Automated acceptance test required before release candidate.
PRD-STR-004,FG-GAME,P0,YES,REQT-PRD-STR-004,QA-S04,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§10,Automated acceptance test required before release candidate.
PRD-STR-005,FG-GAME,P0,YES,REQT-PRD-STR-005,QA-S04,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§10.1,Automated acceptance test required before release candidate.
PRD-STR-006,FG-GAME,P0,YES,REQT-PRD-STR-006,QA-S04,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§10.1,Automated acceptance test required before release candidate.
PRD-EVO-001,FG-GAME,P0,YES,REQT-PRD-EVO-001,QA-S04,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§11.1,Automated acceptance test required before release candidate.
PRD-EVO-002,FG-GAME,P0,YES,REQT-PRD-EVO-002,QA-S04,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§11.1,Automated acceptance test required before release candidate.
PRD-EVO-003,FG-GAME,P0,YES,REQT-PRD-EVO-003,QA-S04,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§11.2,Automated acceptance test required before release candidate.
PRD-EVO-004,FG-GAME,P0,YES,REQT-PRD-EVO-004,QA-S04,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§11.2,Automated acceptance test required before release candidate.
PRD-EVO-005,FG-GAME,P0,YES,REQT-PRD-EVO-005,QA-S04,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§11.3,Automated acceptance test required before release candidate.
PRD-EVO-006,FG-GAME,P0,YES,REQT-PRD-EVO-006,QA-S04,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§11.3,Automated acceptance test required before release candidate.
PRD-EVO-007,FG-GAME,P0_BASELINE_DEFERRED_FREEZE,YES,REQT-PRD-EVO-007,QA-S04,COVERED,AUTOMATED_CORE_PLUS_EXTERNAL_EVIDENCE,YES,AI_TAMAGOTCHI_VISUAL_PACKAGE_v1.0/00_README/OPEN_DECISIONS_FINAL.md,§11,Current baseline tested; final tuning/art is not fabricated.
