source_id,package_scope,logical_path,filename,type,version,precedence_tier,apparent_status,availability,evidence_source
VPK-001,visual,AI_TAMAGOTCHI_VISUAL_PACKAGE_v1.0/,AI_TAMAGOTCHI_VISUAL_PACKAGE_v1.0,directory/package,Stage 22 / override v2.0,visual_current,DEVELOPER_READY_EXTERNAL_3D_PRODUCTION_REQUIRED,NESTED_CONTENT_DIRECTLY_INDEXED_AND_REVIEWED,README_FINAL_PACKAGE_v2.0.md
VPK-002,visual,00_README/README_FINAL_PACKAGE_v2.0.md,README_FINAL_PACKAGE_v2.0.md,md,2.0,visual_current,CURRENT_FINAL_PACKAGE_README,NESTED_FILE_INDEXED_AND_READ,README_FINAL_PACKAGE_v2.0.md
VPK-003,visual,00_README/ALL_FILES.txt,ALL_FILES.txt,txt,current,visual_current,AUTHORITATIVE_COMPLETE_PATH_LIST,NESTED_FILE_INDEXED_AND_READ,ALL_FILES.txt
VPK-004,visual,00_README/FILE_COUNTS_BY_CATEGORY.md,FILE_COUNTS_BY_CATEGORY.md,md,Stage 22,visual_current,CURRENT_CATEGORY_COUNTS,NESTED_FILE_INDEXED_AND_READ,FILE_COUNTS_BY_CATEGORY.md
VPK-005,visual,00_README/PROJECT_FILE_TREE_v2.1.md,PROJECT_FILE_TREE_v2.1.md,md,2.1,visual_current,CURRENT_FULL_FILE_TREE,NESTED_FILE_INDEXED_AND_READ,PROJECT_FILE_TREE_v2.1.md
VPK-006,visual,00_README/ASSET_INDEX.xlsx,ASSET_INDEX.xlsx,xlsx,Stage 22,visual_current,CURRENT_PACKAGE_ASSET_INDEX,NESTED_FILE_INDEXED_AND_READ,ASSET_INDEX.xlsx
VPK-007,visual,00_README/stage_manifest_stage_22_v2.0.json,stage_manifest_stage_22_v2.0.json,json,2.0,visual_current,CURRENT_STAGE22_MANIFEST,NESTED_FILE_INDEXED_AND_READ,stage_manifest_stage_22_v2.0.json
VPK-008,visual,00_README/STAGE_22_SELF_AUDIT.md,STAGE_22_SELF_AUDIT.md,md,2.0,visual_current,CURRENT_STAGE22_SELF_AUDIT,NESTED_FILE_INDEXED_AND_READ,STAGE_22_SELF_AUDIT.md
VIS-OVR-001,visual,00_README/PROJECT_DECISION_OVERRIDE_v2.0.md,PROJECT_DECISION_OVERRIDE_v2.0.md,md,2.0,owner_decision,CURRENT_HIGHEST_VISUAL_PROJECT_OVERRIDE,NESTED_FILE_INDEXED_AND_READ,Current visual package
VIS-OVR-002,visual,00_README/CURRENT_PROJECT_APPROVAL_STATUS_v2.0.md,CURRENT_PROJECT_APPROVAL_STATUS_v2.0.md,md,2.0,approval_remediation,CURRENT_APPROVAL_REMEDIATION_STATUS,NESTED_FILE_INDEXED_AND_READ,Current visual package
VIS-OVR-003,visual,00_README/CURRENT_SOURCE_MAP_v2.0.md,CURRENT_SOURCE_MAP_v2.0.md,md,2.0,approval_remediation,CURRENT_VERSION_SOURCE_MAP,NESTED_FILE_INDEXED_AND_READ,Current visual package
VIS-OVR-004,visual,00_README/SPEC_DECISION_ADDENDUM_v2.0.md,SPEC_DECISION_ADDENDUM_v2.0.md,md,2.0,owner_decision,CURRENT_NORMATIVE_ADDENDUM,NESTED_FILE_INDEXED_AND_READ,Current visual package
VIS-OVR-005,visual,00_README/OPEN_DECISIONS_v2.0.md,OPEN_DECISIONS_v2.0.md,md,2.0,approval_remediation,CURRENT_REMEDIATION_OPEN_ITEM_REGISTER,NESTED_FILE_INDEXED_AND_READ,Current visual package
VIS-OVR-006,visual,00_README/stage_manifest_retroactive_remediation_v2.0.json,stage_manifest_retroactive_remediation_v2.0.json,json,2.0,approval_remediation,CURRENT_REMEDIATION_INTEGRITY_MANIFEST,NESTED_FILE_INDEXED_AND_READ,Current visual package
VIS-AUD-001,visual,00_README/FINAL_COMPLETENESS_REPORT.md,FINAL_COMPLETENESS_REPORT.md,md,final,approval_remediation,CURRENT_FINAL_COMPLETENESS,NESTED_FILE_INDEXED_AND_READ,Current visual package
VIS-AUD-002,visual,00_README/MISSING_ASSETS_REPORT.md,MISSING_ASSETS_REPORT.md,md,final,approval_remediation,CURRENT_FINAL_MISSING_ASSETS_REGISTER,NESTED_FILE_INDEXED_AND_READ,Current visual package
VIS-AUD-003,visual,00_README/OPEN_DECISIONS_FINAL.md,OPEN_DECISIONS_FINAL.md,md,2.0,approval_remediation,LATEST_FINAL_AUDIT_OPEN_DECISION_SNAPSHOT,NESTED_FILE_INDEXED_AND_READ,Current visual package
VIS-AUD-004,visual,00_README/PRODUCTION_READINESS_SCORECARD.xlsx,PRODUCTION_READINESS_SCORECARD.xlsx,xlsx,final,approval_remediation,CURRENT_PRODUCTION_READINESS_SCORECARD,NESTED_FILE_INDEXED_AND_READ,Current visual package
VIS-AUD-005,visual,00_README/stage_manifest_stage_21_v2.0.json,stage_manifest_stage_21_v2.0.json,json,2.0,approval_remediation,CURRENT_STAGE21_AUDIT_MANIFEST,NESTED_FILE_INDEXED_AND_READ,Current visual package
HAND-001,visual,09_DEVELOPER_HANDOFF/HANDOFF_INDEX_v2.0.md,HANDOFF_INDEX_v2.0.md,md,2.0,visual_handoff,CURRENT_HANDOFF_INDEX,NESTED_FILE_INDEXED_AND_READ_OR_MANIFEST_CONFIRMED,stage_manifest_stage_20_v2.0.json
HAND-002,visual,09_DEVELOPER_HANDOFF/Developer_Notes.md,Developer_Notes.md,md,canonical current,visual_handoff,CURRENT_DEVELOPER_NOTES,NESTED_FILE_INDEXED_AND_READ_OR_MANIFEST_CONFIRMED,stage_manifest_stage_20_v2.0.json
HAND-003,visual,09_DEVELOPER_HANDOFF/Design_Tokens.json,Design_Tokens.json,json,canonical current,visual_handoff,CURRENT_DESIGN_TOKENS,NESTED_FILE_INDEXED_AND_READ_OR_MANIFEST_CONFIRMED,stage_manifest_stage_20_v2.0.json
HAND-004,visual,09_DEVELOPER_HANDOFF/Component_Matrix.xlsx,Component_Matrix.xlsx,xlsx,canonical current,visual_handoff,CURRENT_COMPONENT_MATRIX,NESTED_FILE_INDEXED_AND_READ_OR_MANIFEST_CONFIRMED,stage_manifest_stage_20_v2.0.json
HAND-005,visual,09_DEVELOPER_HANDOFF/Screen_State_Matrix.xlsx,Screen_State_Matrix.xlsx,xlsx,canonical current,visual_handoff,CURRENT_SCREEN_STATE_MATRIX,NESTED_FILE_INDEXED_AND_READ_OR_MANIFEST_CONFIRMED,stage_manifest_stage_20_v2.0.json
HAND-006,visual,09_DEVELOPER_HANDOFF/Asset_Manifest.xlsx,Asset_Manifest.xlsx,xlsx,canonical current,visual_handoff,CURRENT_ASSET_MANIFEST,NESTED_FILE_INDEXED_AND_READ_OR_MANIFEST_CONFIRMED,stage_manifest_stage_20_v2.0.json
HAND-007,visual,09_DEVELOPER_HANDOFF/Motion_Specification.md,Motion_Specification.md,md,canonical current,visual_handoff,CURRENT_MOTION_SPEC,NESTED_FILE_INDEXED_AND_READ_OR_MANIFEST_CONFIRMED,stage_manifest_stage_20_v2.0.json
HAND-008,visual,09_DEVELOPER_HANDOFF/3D_Specification.md,3D_Specification.md,md,canonical current,visual_handoff,CURRENT_3D_SPEC,NESTED_FILE_INDEXED_AND_READ_OR_MANIFEST_CONFIRMED,stage_manifest_stage_20_v2.0.json
HAND-009,visual,10_QA_REFERENCE/Visual_QA_Checklist.xlsx,Visual_QA_Checklist.xlsx,xlsx,canonical current,visual_handoff,CURRENT_VISUAL_QA_CHECKLIST,NESTED_FILE_INDEXED_AND_READ_OR_MANIFEST_CONFIRMED,stage_manifest_stage_20_v2.0.json
HAND-010,visual,00_README/CHANGELOG.xlsx,CHANGELOG.xlsx,xlsx,canonical current,visual_handoff,CURRENT_HANDOFF_CHANGELOG,NESTED_FILE_INDEXED_AND_READ_OR_MANIFEST_CONFIRMED,stage_manifest_stage_20_v2.0.json
HAND-V-001,visual,09_DEVELOPER_HANDOFF/Screen_State_Matrix_v2.0.xlsx,Screen_State_Matrix_v2.0.xlsx,xlsx,2.0,visual_handoff_history,VERSIONED_HANDOFF_COMPANION,NESTED_FILE_MANIFEST_CONFIRMED,stage_manifest_stage_20_v2.0.json
HAND-V-002,visual,09_DEVELOPER_HANDOFF/Asset_Manifest_v2.1.xlsx,Asset_Manifest_v2.1.xlsx,xlsx,2.1,visual_handoff_history,VERSIONED_HANDOFF_COMPANION,NESTED_FILE_MANIFEST_CONFIRMED,stage_manifest_stage_20_v2.0.json
HAND-V-003,visual,09_DEVELOPER_HANDOFF/Motion_Specification_v2.0.md,Motion_Specification_v2.0.md,md,2.0,visual_handoff_history,BYTE_EQUIVALENT_TO_CANONICAL_PER_STAGE20_HASH,NESTED_FILE_MANIFEST_CONFIRMED,stage_manifest_stage_20_v2.0.json
HAND-V-004,visual,09_DEVELOPER_HANDOFF/3D_Specification_v2.0.md,3D_Specification_v2.0.md,md,2.0,visual_handoff_history,BYTE_EQUIVALENT_TO_CANONICAL_PER_STAGE20_HASH,NESTED_FILE_MANIFEST_CONFIRMED,stage_manifest_stage_20_v2.0.json
HAND-V-005,visual,09_DEVELOPER_HANDOFF/Developer_Notes_v2.0.md,Developer_Notes_v2.0.md,md,2.0,visual_handoff_history,BYTE_EQUIVALENT_TO_CANONICAL_PER_STAGE20_HASH,NESTED_FILE_MANIFEST_CONFIRMED,stage_manifest_stage_20_v2.0.json
HAND-V-006,visual,10_QA_REFERENCE/Visual_QA_Checklist_v2.0.xlsx,Visual_QA_Checklist_v2.0.xlsx,xlsx,2.0,visual_handoff_history,VERSIONED_QA_COMPANION,NESTED_FILE_MANIFEST_CONFIRMED,stage_manifest_stage_20_v2.0.json
HAND-V-007,visual,00_README/CHANGELOG_v2.0.xlsx,CHANGELOG_v2.0.xlsx,xlsx,2.0,visual_handoff_history,VERSIONED_CHANGELOG_COMPANION,NESTED_FILE_MANIFEST_CONFIRMED,stage_manifest_stage_20_v2.0.json
CAN-001,visual,03_MASCOT_LYUBOZNAYKA/01_References/MSC_Lyuboznayka_Canonical_UserApproved_v1.0.jpeg,MSC_Lyuboznayka_Canonical_UserApproved_v1.0.jpeg,jpeg,1.0,owner_decision,CANONICAL_USER_APPROVED,NESTED_FILE_INDEXED_OR_CURRENT_MANIFEST_CONFIRMED,CURRENT_PROJECT_APPROVAL_STATUS_v2.0.md / remediation manifest
CAN-002,visual,04_PULKOVO_WORLD/01_Approved_References/REF_PULKOVO_Interior_Composition_UserApproved_v2.0.png,REF_PULKOVO_Interior_Composition_UserApproved_v2.0.png,png,2.0,owner_decision,CANONICAL_USER_APPROVED,NESTED_FILE_INDEXED_OR_CURRENT_MANIFEST_CONFIRMED,CURRENT_PROJECT_APPROVAL_STATUS_v2.0.md / remediation manifest
QA-001,visual,10_QA_REFERENCE/Visual_Acceptance_Checklist_v2.0.xlsx,Visual_Acceptance_Checklist_v2.0.xlsx,xlsx,2.0,visual_qa,CURRENT_VISUAL_ACCEPTANCE,NESTED_FILE_INDEXED_OR_CURRENT_MANIFEST_CONFIRMED,CURRENT_PROJECT_APPROVAL_STATUS_v2.0.md / remediation manifest
QA-002,visual,10_QA_REFERENCE/Golden_Screens_Catalog_v2.0.png,Golden_Screens_Catalog_v2.0.png,png,2.0,visual_qa,CURRENT_GOLDEN_SCREEN_CATALOG,NESTED_FILE_INDEXED_OR_CURRENT_MANIFEST_CONFIRMED,CURRENT_PROJECT_APPROVAL_STATUS_v2.0.md / remediation manifest
RD-001,readiness,AI_Tamagotchi_Development_Readiness_Pack_v0.1.docx,AI_Tamagotchi_Development_Readiness_Pack_v0.1.docx,docx,0.1,readiness,READINESS_RECOMMENDATION_BASELINE,FILE_LIBRARY_INDEXED_AND_READ,Readiness files
RD-002,readiness,AI_Tamagotchi_Development_Readiness_Workbook_v0.1.xlsx,AI_Tamagotchi_Development_Readiness_Workbook_v0.1.xlsx,xlsx,0.1,readiness,READINESS_OPERATIONAL_WORKBOOK,FILE_LIBRARY_INDEXED_AND_READ,Readiness files
RD-003,readiness,ai_processing_schema.json,ai_processing_schema.json,json,0.1-era,preliminary,PRELIMINARY_TYPED_AI_SCHEMA,FILE_LIBRARY_INDEXED_AND_READ,Readiness files
RD-004,readiness,openapi_preliminary_v0.1.yaml,openapi_preliminary_v0.1.yaml,yaml,0.1,preliminary,PRELIMINARY_OPENAPI_NOT_FINAL,FILE_LIBRARY_INDEXED_AND_READ,Readiness files
RD-005,readiness,erd.mmd,erd.mmd,mmd,0.1-era,preliminary,REFERENCED_PRESENT_NOT_INDEPENDENTLY_RETRIEVED,REFERENCED_BY_READINESS_ARTIFACT_INDEX,AI_Tamagotchi_Development_Readiness_Pack_v0.1.docx artifact index
RD-006,readiness,architecture.mmd,architecture.mmd,mmd,0.1-era,preliminary,REFERENCED_PRESENT_NOT_INDEPENDENTLY_RETRIEVED,REFERENCED_BY_READINESS_ARTIFACT_INDEX,AI_Tamagotchi_Development_Readiness_Pack_v0.1.docx artifact index
RD-007,readiness,ux_flow.mmd,ux_flow.mmd,mmd,0.1-era,preliminary,REFERENCED_PRESENT_NOT_INDEPENDENTLY_RETRIEVED,REFERENCED_BY_READINESS_ARTIFACT_INDEX,AI_Tamagotchi_Development_Readiness_Pack_v0.1.docx artifact index
