source_id,package_scope,inventory_level,logical_path,filename,type,version,created_at,modified_at,size_bytes,sha256,hash_basis,apparent_status,precedence_tier,project_role,availability,nested_file_count,evidence_source,stage0_note
VGEN-001,visual,file,PROMPT_AI_Visual_Package_Generator_v1.0.md,PROMPT_AI_Visual_Package_Generator_v1.0.md,md,1.0,2026-08-27T09:54:39Z,2026-08-27T09:54:39Z,,,,VISUAL_PACKAGE_GENERATOR_PROMPT_HISTORICAL_GOVERNANCE,visual_upstream,Rules used to build visual package,FILE_LIBRARY_INDEXED_AND_READ,,Visual project source,Historical generator governance; current visual package status/overrides are later.
VTZ-001,visual,file,TZ_Visual_Production_Package_v1.0.md,TZ_Visual_Production_Package_v1.0.md,md,1.0,2026-08-27T09:54:34Z,2026-08-27T09:54:34Z,,,,LATEST_INDEXED_VISUAL_PRODUCTION_TZ,visual_upstream,Visual Production & Design Handoff Package specification,FILE_LIBRARY_INDEXED_AND_READ,,File Library,Latest indexed instance used only as upstream package specification; current v2 handoff/remediation takes precedence.
VTZ-H01,visual,file,TZ_Visual_Production_Package_v1.0.md,TZ_Visual_Production_Package_v1.0.md,md,1.0,2026-08-27T09:52:31Z,2026-08-27T09:52:31Z,,,,HISTORICAL_DUPLICATE_INSTANCE,historical,Visual Production & Design Handoff Package specification,FILE_LIBRARY_INDEXED_AND_READ,,File Library,Latest indexed instance used only as upstream package specification; current v2 handoff/remediation takes precedence.
VPK-000,visual,package,AI_TAMAGOTCHI_VISUAL_PACKAGE_v1.0(2).zip,AI_TAMAGOTCHI_VISUAL_PACKAGE_v1.0(2).zip,zip,package v1.0 / current override v2.0,,,,,,CURRENT_USER_SUPPLIED_VISUAL_CONTAINER,visual_current,Current visual package container delivered by owner,CURRENT_UPLOAD_NESTED_CONTENT_INDEXED; RAW_ZIP_NOT_OS_MOUNTED,700,README_FINAL_PACKAGE_v2.0.md + ALL_FILES.txt + FILE_COUNTS_BY_CATEGORY.md,Nested files are directly searchable/readable. Outer ZIP byte hash/size cannot be independently recomputed in sandbox.
VPK-001,visual,package_root,AI_TAMAGOTCHI_VISUAL_PACKAGE_v1.0/,AI_TAMAGOTCHI_VISUAL_PACKAGE_v1.0,directory/package,Stage 22 / override v2.0,2026-08-31,2026-08-31,,,,DEVELOPER_READY_EXTERNAL_3D_PRODUCTION_REQUIRED,visual_current,Current visual source/handoff package,NESTED_CONTENT_DIRECTLY_INDEXED_AND_REVIEWED,700,README_FINAL_PACKAGE_v2.0.md,Readiness 84.3/100; full Production Freeze not complete.
VPK-002,visual,file,00_README/README_FINAL_PACKAGE_v2.0.md,README_FINAL_PACKAGE_v2.0.md,md,2.0,2026-08-31T10:30:47Z,2026-08-31T10:30:47Z,,,,CURRENT_FINAL_PACKAGE_README,visual_current,Visual package entry point / current high-level state,NESTED_FILE_INDEXED_AND_READ,,README_FINAL_PACKAGE_v2.0.md,Directly reviewed in current visual package.
VPK-003,visual,file,00_README/ALL_FILES.txt,ALL_FILES.txt,txt,current,2026-08-31T10:30:51Z,2026-08-31T10:30:51Z,,,,AUTHORITATIVE_COMPLETE_PATH_LIST,visual_current,Complete 700-path nested inventory,NESTED_FILE_INDEXED_AND_READ,,ALL_FILES.txt,"Directly reviewed in current visual package. Tool serialization truncates long ALL_FILES.txt, but file itself declares 700 paths."
VPK-004,visual,file,00_README/FILE_COUNTS_BY_CATEGORY.md,FILE_COUNTS_BY_CATEGORY.md,md,Stage 22,2026-08-31T10:30:54Z,2026-08-31T10:30:54Z,,,,CURRENT_CATEGORY_COUNTS,visual_current,Counts by top-level category and extension,NESTED_FILE_INDEXED_AND_READ,,FILE_COUNTS_BY_CATEGORY.md,Directly reviewed in current visual package.
VPK-005,visual,file,00_README/PROJECT_FILE_TREE_v2.1.md,PROJECT_FILE_TREE_v2.1.md,md,2.1,2026-08-31T10:30:49Z,2026-08-31T10:30:49Z,,,,CURRENT_FULL_FILE_TREE,visual_current,Human-readable final 700-file tree,NESTED_FILE_INDEXED_AND_READ,,PROJECT_FILE_TREE_v2.1.md,Directly reviewed in current visual package.
VPK-006,visual,file,00_README/ASSET_INDEX.xlsx,ASSET_INDEX.xlsx,xlsx,Stage 22,,,,,SELF_DYNAMIC,CURRENT_PACKAGE_ASSET_INDEX,visual_current,Package-level file inventory/status/hash/size source; self-row dynamic,NESTED_FILE_INDEXED_AND_READ,,ASSET_INDEX.xlsx,Directly reviewed in current visual package.
VPK-007,visual,file,00_README/stage_manifest_stage_22_v2.0.json,stage_manifest_stage_22_v2.0.json,json,2.0,2026-08-31T10:31:08Z,2026-08-31T10:31:08Z,,,,CURRENT_STAGE22_MANIFEST,visual_current,Stage-22 package status,NESTED_FILE_INDEXED_AND_READ,,stage_manifest_stage_22_v2.0.json,Directly reviewed in current visual package.
VPK-008,visual,file,00_README/STAGE_22_SELF_AUDIT.md,STAGE_22_SELF_AUDIT.md,md,2.0,2026-08-31T10:31:05Z,2026-08-31T10:31:05Z,,,,CURRENT_STAGE22_SELF_AUDIT,visual_current,Stage-22 package audit,NESTED_FILE_INDEXED_AND_READ,,STAGE_22_SELF_AUDIT.md,Directly reviewed in current visual package.
VPK-CAT-01,visual,aggregate_category,00_README/,00_README,aggregate,Stage 22,2026-08-31,2026-08-31,,,,INVENTORIED_VIA_AUTHORITATIVE_PACKAGE_INDEX,visual_inventory,Complete visual package category inventory aggregate,COUNT_CONFIRMED_BY_FILE_COUNTS_BY_CATEGORY,153,00_README/FILE_COUNTS_BY_CATEGORY.md,All individual paths are authoritative in 00_README/ALL_FILES.txt; aggregate row prevents inventing paths not fully serialized by the retrieval UI.
VPK-CAT-02,visual,aggregate_category,01_FIGMA/,01_FIGMA,aggregate,Stage 22,2026-08-31,2026-08-31,,,,INVENTORIED_VIA_AUTHORITATIVE_PACKAGE_INDEX,visual_inventory,Complete visual package category inventory aggregate,COUNT_CONFIRMED_BY_FILE_COUNTS_BY_CATEGORY,81,00_README/FILE_COUNTS_BY_CATEGORY.md,All individual paths are authoritative in 00_README/ALL_FILES.txt; aggregate row prevents inventing paths not fully serialized by the retrieval UI.
VPK-CAT-03,visual,aggregate_category,02_DESIGN_SYSTEM/,02_DESIGN_SYSTEM,aggregate,Stage 22,2026-08-31,2026-08-31,,,,INVENTORIED_VIA_AUTHORITATIVE_PACKAGE_INDEX,visual_inventory,Complete visual package category inventory aggregate,COUNT_CONFIRMED_BY_FILE_COUNTS_BY_CATEGORY,137,00_README/FILE_COUNTS_BY_CATEGORY.md,All individual paths are authoritative in 00_README/ALL_FILES.txt; aggregate row prevents inventing paths not fully serialized by the retrieval UI.
VPK-CAT-04,visual,aggregate_category,03_MASCOT_LYUBOZNAYKA/,03_MASCOT_LYUBOZNAYKA,aggregate,Stage 22,2026-08-31,2026-08-31,,,,INVENTORIED_VIA_AUTHORITATIVE_PACKAGE_INDEX,visual_inventory,Complete visual package category inventory aggregate,COUNT_CONFIRMED_BY_FILE_COUNTS_BY_CATEGORY,25,00_README/FILE_COUNTS_BY_CATEGORY.md,All individual paths are authoritative in 00_README/ALL_FILES.txt; aggregate row prevents inventing paths not fully serialized by the retrieval UI.
VPK-CAT-05,visual,aggregate_category,04_PULKOVO_WORLD/,04_PULKOVO_WORLD,aggregate,Stage 22,2026-08-31,2026-08-31,,,,INVENTORIED_VIA_AUTHORITATIVE_PACKAGE_INDEX,visual_inventory,Complete visual package category inventory aggregate,COUNT_CONFIRMED_BY_FILE_COUNTS_BY_CATEGORY,53,00_README/FILE_COUNTS_BY_CATEGORY.md,All individual paths are authoritative in 00_README/ALL_FILES.txt; aggregate row prevents inventing paths not fully serialized by the retrieval UI.
VPK-CAT-06,visual,aggregate_category,05_UI_ASSETS/,05_UI_ASSETS,aggregate,Stage 22,2026-08-31,2026-08-31,,,,INVENTORIED_VIA_AUTHORITATIVE_PACKAGE_INDEX,visual_inventory,Complete visual package category inventory aggregate,COUNT_CONFIRMED_BY_FILE_COUNTS_BY_CATEGORY,25,00_README/FILE_COUNTS_BY_CATEGORY.md,All individual paths are authoritative in 00_README/ALL_FILES.txt; aggregate row prevents inventing paths not fully serialized by the retrieval UI.
VPK-CAT-07,visual,aggregate_category,06_MOTION/,06_MOTION,aggregate,Stage 22,2026-08-31,2026-08-31,,,,INVENTORIED_VIA_AUTHORITATIVE_PACKAGE_INDEX,visual_inventory,Complete visual package category inventory aggregate,COUNT_CONFIRMED_BY_FILE_COUNTS_BY_CATEGORY,13,00_README/FILE_COUNTS_BY_CATEGORY.md,All individual paths are authoritative in 00_README/ALL_FILES.txt; aggregate row prevents inventing paths not fully serialized by the retrieval UI.
VPK-CAT-08,visual,aggregate_category,07_RESPONSIVE/,07_RESPONSIVE,aggregate,Stage 22,2026-08-31,2026-08-31,,,,INVENTORIED_VIA_AUTHORITATIVE_PACKAGE_INDEX,visual_inventory,Complete visual package category inventory aggregate,COUNT_CONFIRMED_BY_FILE_COUNTS_BY_CATEGORY,19,00_README/FILE_COUNTS_BY_CATEGORY.md,All individual paths are authoritative in 00_README/ALL_FILES.txt; aggregate row prevents inventing paths not fully serialized by the retrieval UI.
VPK-CAT-09,visual,aggregate_category,08_PRODUCTION_EXPORTS/,08_PRODUCTION_EXPORTS,aggregate,Stage 22,2026-08-31,2026-08-31,,,,INVENTORIED_VIA_AUTHORITATIVE_PACKAGE_INDEX,visual_inventory,Complete visual package category inventory aggregate,COUNT_CONFIRMED_BY_FILE_COUNTS_BY_CATEGORY,63,00_README/FILE_COUNTS_BY_CATEGORY.md,All individual paths are authoritative in 00_README/ALL_FILES.txt; aggregate row prevents inventing paths not fully serialized by the retrieval UI.
VPK-CAT-10,visual,aggregate_category,09_DEVELOPER_HANDOFF/,09_DEVELOPER_HANDOFF,aggregate,Stage 22,2026-08-31,2026-08-31,,,,INVENTORIED_VIA_AUTHORITATIVE_PACKAGE_INDEX,visual_inventory,Complete visual package category inventory aggregate,COUNT_CONFIRMED_BY_FILE_COUNTS_BY_CATEGORY,61,00_README/FILE_COUNTS_BY_CATEGORY.md,All individual paths are authoritative in 00_README/ALL_FILES.txt; aggregate row prevents inventing paths not fully serialized by the retrieval UI.
VPK-CAT-11,visual,aggregate_category,10_QA_REFERENCE/,10_QA_REFERENCE,aggregate,Stage 22,2026-08-31,2026-08-31,,,,INVENTORIED_VIA_AUTHORITATIVE_PACKAGE_INDEX,visual_inventory,Complete visual package category inventory aggregate,COUNT_CONFIRMED_BY_FILE_COUNTS_BY_CATEGORY,49,00_README/FILE_COUNTS_BY_CATEGORY.md,All individual paths are authoritative in 00_README/ALL_FILES.txt; aggregate row prevents inventing paths not fully serialized by the retrieval UI.
VPK-CAT-12,visual,aggregate_category,11_RIGHTS_AND_APPROVALS/,11_RIGHTS_AND_APPROVALS,aggregate,Stage 22,2026-08-31,2026-08-31,,,,INVENTORIED_VIA_AUTHORITATIVE_PACKAGE_INDEX,visual_inventory,Complete visual package category inventory aggregate,COUNT_CONFIRMED_BY_FILE_COUNTS_BY_CATEGORY,20,00_README/FILE_COUNTS_BY_CATEGORY.md,All individual paths are authoritative in 00_README/ALL_FILES.txt; aggregate row prevents inventing paths not fully serialized by the retrieval UI.
VPK-CAT-13,visual,aggregate_category,[ROOT],[ROOT],aggregate,Stage 22,2026-08-31,2026-08-31,,,,INVENTORIED_VIA_AUTHORITATIVE_PACKAGE_INDEX,visual_inventory,Complete visual package category inventory aggregate,COUNT_CONFIRMED_BY_FILE_COUNTS_BY_CATEGORY,1,00_README/FILE_COUNTS_BY_CATEGORY.md,All individual paths are authoritative in 00_README/ALL_FILES.txt; aggregate row prevents inventing paths not fully serialized by the retrieval UI.
VIS-OVR-001,visual,file,00_README/PROJECT_DECISION_OVERRIDE_v2.0.md,PROJECT_DECISION_OVERRIDE_v2.0.md,md,2.0,2026-08-31,2026-08-31,,a626776c913cc7cebd40bb335da8d190e58c02d585faa9d8bf1f3a25eef90501,stage_manifest_retroactive_remediation_v2.0,CURRENT_HIGHEST_VISUAL_PROJECT_OVERRIDE,owner_decision,Latest explicit owner decision override,NESTED_FILE_INDEXED_AND_READ,,Current visual package,Current-source evidence; exact semantic normalization deferred to Stage 1.
VIS-OVR-002,visual,file,00_README/CURRENT_PROJECT_APPROVAL_STATUS_v2.0.md,CURRENT_PROJECT_APPROVAL_STATUS_v2.0.md,md,2.0,2026-08-31,2026-08-31,,68af48dd0736d4c0e5de14a4b754271302ccea08955ef8b9b3137cb0fa39ccf8,stage_manifest_retroactive_remediation_v2.0,CURRENT_APPROVAL_REMEDIATION_STATUS,approval_remediation,Current approved/resolved/waived status,NESTED_FILE_INDEXED_AND_READ,,Current visual package,Current-source evidence; exact semantic normalization deferred to Stage 1.
VIS-OVR-003,visual,file,00_README/CURRENT_SOURCE_MAP_v2.0.md,CURRENT_SOURCE_MAP_v2.0.md,md,2.0,2026-08-31,2026-08-31,,b19177c1f83c2855f481a4035c4f30dc905d0f33256771d7913c2a1d31454d98,stage_manifest_retroactive_remediation_v2.0,CURRENT_VERSION_SOURCE_MAP,approval_remediation,Legacy-to-current mapping,NESTED_FILE_INDEXED_AND_READ,,Current visual package,Current-source evidence; exact semantic normalization deferred to Stage 1.
VIS-OVR-004,visual,file,00_README/SPEC_DECISION_ADDENDUM_v2.0.md,SPEC_DECISION_ADDENDUM_v2.0.md,md,2.0,2026-08-31,2026-08-31,,ab3c74f757977d2801cdd4e9b121ff5a96804089bbff6d1809b97d698000b8e0,stage_manifest_retroactive_remediation_v2.0,CURRENT_NORMATIVE_ADDENDUM,owner_decision,Explicit Product/Design conflict overrides,NESTED_FILE_INDEXED_AND_READ,,Current visual package,Current-source evidence; exact semantic normalization deferred to Stage 1.
VIS-OVR-005,visual,file,00_README/OPEN_DECISIONS_v2.0.md,OPEN_DECISIONS_v2.0.md,md,2.0,2026-08-31,2026-08-31,,1a590236a4dd2436a25cab5c6e304a35e7b9dc4d27f05767738fb33c89ebd185,stage_manifest_retroactive_remediation_v2.0,CURRENT_REMEDIATION_OPEN_ITEM_REGISTER,approval_remediation,Open items after v2 retroactive remediation,NESTED_FILE_INDEXED_AND_READ,,Current visual package,Current-source evidence; exact semantic normalization deferred to Stage 1.
VIS-OVR-006,visual,file,00_README/stage_manifest_retroactive_remediation_v2.0.json,stage_manifest_retroactive_remediation_v2.0.json,json,2.0,2026-08-31,2026-08-31,,,,CURRENT_REMEDIATION_INTEGRITY_MANIFEST,approval_remediation,25/25 required current files and hashes; 17 v2 Golden Screens,NESTED_FILE_INDEXED_AND_READ,,Current visual package,Current-source evidence; exact semantic normalization deferred to Stage 1.
VIS-AUD-001,visual,file,00_README/FINAL_COMPLETENESS_REPORT.md,FINAL_COMPLETENESS_REPORT.md,md,final,2026-08-31,2026-08-31,,9bf398fd7f74c96bad36f3076ee45d477e33b479cb0c1553bd197924e79545a1,stage_manifest_stage_21_v2.0,CURRENT_FINAL_COMPLETENESS,approval_remediation,Final visual completeness/readiness audit,NESTED_FILE_INDEXED_AND_READ,,Current visual package,Current-source evidence; exact semantic normalization deferred to Stage 1.
VIS-AUD-002,visual,file,00_README/MISSING_ASSETS_REPORT.md,MISSING_ASSETS_REPORT.md,md,final,2026-08-31,2026-08-31,,00ecc55987b7e760dcad01a49d8f59d6e255b06c2d340ec1280c0ce4b4d6067e,stage_manifest_stage_21_v2.0,CURRENT_FINAL_MISSING_ASSETS_REGISTER,approval_remediation,Final physical missing/deprecated path audit,NESTED_FILE_INDEXED_AND_READ,,Current visual package,Current-source evidence; exact semantic normalization deferred to Stage 1.
VIS-AUD-003,visual,file,00_README/OPEN_DECISIONS_FINAL.md,OPEN_DECISIONS_FINAL.md,md,2.0,2026-08-31,2026-08-31,,668a23a43cebc938555cbba3ebb8f25956c787c67b92c2d1222a13e37bf0e248,stage_manifest_stage_21_v2.0,LATEST_FINAL_AUDIT_OPEN_DECISION_SNAPSHOT,approval_remediation,"Final audit: 10 resolved/baseline, 3 waived, 19 still open",NESTED_FILE_INDEXED_AND_READ,,Current visual package,Current-source evidence; exact semantic normalization deferred to Stage 1.
VIS-AUD-004,visual,file,00_README/PRODUCTION_READINESS_SCORECARD.xlsx,PRODUCTION_READINESS_SCORECARD.xlsx,xlsx,final,2026-08-31,2026-08-31,,b38549be350aeadf0c6410d4bd08185eb647b5b1fe2b5bc0374bb1916897f84b,stage_manifest_stage_21_v2.0,CURRENT_PRODUCTION_READINESS_SCORECARD,approval_remediation,Weighted visual readiness scorecard,NESTED_FILE_INDEXED_AND_READ,,Current visual package,Current-source evidence; exact semantic normalization deferred to Stage 1.
VIS-AUD-005,visual,file,00_README/stage_manifest_stage_21_v2.0.json,stage_manifest_stage_21_v2.0.json,json,2.0,2026-08-31,2026-08-31,,,,CURRENT_STAGE21_AUDIT_MANIFEST,approval_remediation,Final visual audit metrics and hashes,NESTED_FILE_INDEXED_AND_READ,,Current visual package,Current-source evidence; exact semantic normalization deferred to Stage 1.
HAND-001,visual,file,09_DEVELOPER_HANDOFF/HANDOFF_INDEX_v2.0.md,HANDOFF_INDEX_v2.0.md,md,2.0,2026-08-31,,,ccf6419012eb39f53b573272ca1beefa78bc57d3eafbb3ea47de60fde318f8f2,stage_manifest_stage_20_v2.0,CURRENT_HANDOFF_INDEX,visual_handoff,Current developer handoff mandatory deliverable,NESTED_FILE_INDEXED_AND_READ_OR_MANIFEST_CONFIRMED,,stage_manifest_stage_20_v2.0.json,"Stage 20 reports mandatory deliverables 9/9, runtime files 56, external production groups 9."
HAND-002,visual,file,09_DEVELOPER_HANDOFF/Developer_Notes.md,Developer_Notes.md,md,canonical current,,,,fc343545dc3ac84e74eab74fad3050ab345771381fe2a331a65ef30c485047ed,stage_manifest_stage_20_v2.0,CURRENT_DEVELOPER_NOTES,visual_handoff,Current developer handoff mandatory deliverable,NESTED_FILE_INDEXED_AND_READ_OR_MANIFEST_CONFIRMED,,stage_manifest_stage_20_v2.0.json,"Stage 20 reports mandatory deliverables 9/9, runtime files 56, external production groups 9."
HAND-003,visual,file,09_DEVELOPER_HANDOFF/Design_Tokens.json,Design_Tokens.json,json,canonical current,,,,9570b99f54afb5948ac5d6ecd50d0d02d04cc3e5e6f7d7863040239b4b2a3d9d,stage_manifest_stage_20_v2.0,CURRENT_DESIGN_TOKENS,visual_handoff,Current developer handoff mandatory deliverable,NESTED_FILE_INDEXED_AND_READ_OR_MANIFEST_CONFIRMED,,stage_manifest_stage_20_v2.0.json,"Stage 20 reports mandatory deliverables 9/9, runtime files 56, external production groups 9."
HAND-004,visual,file,09_DEVELOPER_HANDOFF/Component_Matrix.xlsx,Component_Matrix.xlsx,xlsx,canonical current,,,,2cf174c30caa5363107265daeca5838d280bf0b18596b7d528ed935a02c42d7c,stage_manifest_stage_20_v2.0,CURRENT_COMPONENT_MATRIX,visual_handoff,Current developer handoff mandatory deliverable,NESTED_FILE_INDEXED_AND_READ_OR_MANIFEST_CONFIRMED,,stage_manifest_stage_20_v2.0.json,"Stage 20 reports mandatory deliverables 9/9, runtime files 56, external production groups 9."
HAND-005,visual,file,09_DEVELOPER_HANDOFF/Screen_State_Matrix.xlsx,Screen_State_Matrix.xlsx,xlsx,canonical current,,,,f3e8505480a5a464fb38ec8b6e2839f403cadbd827cc99ba61b0bff4b1f8f8b2,stage_manifest_stage_20_v2.0,CURRENT_SCREEN_STATE_MATRIX,visual_handoff,Current developer handoff mandatory deliverable,NESTED_FILE_INDEXED_AND_READ_OR_MANIFEST_CONFIRMED,,stage_manifest_stage_20_v2.0.json,"Stage 20 reports mandatory deliverables 9/9, runtime files 56, external production groups 9."
HAND-006,visual,file,09_DEVELOPER_HANDOFF/Asset_Manifest.xlsx,Asset_Manifest.xlsx,xlsx,canonical current,,,,77299f22df6c9ae52f9c1fa1d77b81270caf96a43338ca6e1829a4597f55ebec,stage_manifest_stage_20_v2.0,CURRENT_ASSET_MANIFEST,visual_handoff,Current developer handoff mandatory deliverable,NESTED_FILE_INDEXED_AND_READ_OR_MANIFEST_CONFIRMED,,stage_manifest_stage_20_v2.0.json,"Stage 20 reports mandatory deliverables 9/9, runtime files 56, external production groups 9."
HAND-007,visual,file,09_DEVELOPER_HANDOFF/Motion_Specification.md,Motion_Specification.md,md,canonical current,,,,19a0acf15c77147807750762240870e316fed587a6e081a2286ce73b63c10a64,stage_manifest_stage_20_v2.0,CURRENT_MOTION_SPEC,visual_handoff,Current developer handoff mandatory deliverable,NESTED_FILE_INDEXED_AND_READ_OR_MANIFEST_CONFIRMED,,stage_manifest_stage_20_v2.0.json,"Stage 20 reports mandatory deliverables 9/9, runtime files 56, external production groups 9."
HAND-008,visual,file,09_DEVELOPER_HANDOFF/3D_Specification.md,3D_Specification.md,md,canonical current,,,,6aba2224a6efe06bc54c14cb55d426cccf1e7fd880dfd177a40774bc98acade4,stage_manifest_stage_20_v2.0,CURRENT_3D_SPEC,visual_handoff,Current developer handoff mandatory deliverable,NESTED_FILE_INDEXED_AND_READ_OR_MANIFEST_CONFIRMED,,stage_manifest_stage_20_v2.0.json,"Stage 20 reports mandatory deliverables 9/9, runtime files 56, external production groups 9."
HAND-009,visual,file,10_QA_REFERENCE/Visual_QA_Checklist.xlsx,Visual_QA_Checklist.xlsx,xlsx,canonical current,,,,fd333b4f203610dab10a6de6c4f77cfbeca8737ff64b33b78fc58f666fdac2a5,stage_manifest_stage_20_v2.0,CURRENT_VISUAL_QA_CHECKLIST,visual_handoff,Current developer handoff mandatory deliverable,NESTED_FILE_INDEXED_AND_READ_OR_MANIFEST_CONFIRMED,,stage_manifest_stage_20_v2.0.json,"Stage 20 reports mandatory deliverables 9/9, runtime files 56, external production groups 9."
HAND-010,visual,file,00_README/CHANGELOG.xlsx,CHANGELOG.xlsx,xlsx,canonical current,,,,a457d63bc07ab1f44d7f6b9ecf144ea7e8d40cfdff061fc5f78977b6df8f5a01,stage_manifest_stage_20_v2.0,CURRENT_HANDOFF_CHANGELOG,visual_handoff,Current developer handoff mandatory deliverable,NESTED_FILE_INDEXED_AND_READ_OR_MANIFEST_CONFIRMED,,stage_manifest_stage_20_v2.0.json,"Stage 20 reports mandatory deliverables 9/9, runtime files 56, external production groups 9."
HAND-V-001,visual,file,09_DEVELOPER_HANDOFF/Screen_State_Matrix_v2.0.xlsx,Screen_State_Matrix_v2.0.xlsx,xlsx,2.0,,,,19ea7fbfdd407efe104b9b892ea9b3151a761b76737ca588ef5ac5c9d91d3d3a,stage_manifest_stage_20_v2.0,VERSIONED_HANDOFF_COMPANION,visual_handoff_history,Versioned handoff lineage/audit companion,NESTED_FILE_MANIFEST_CONFIRMED,,stage_manifest_stage_20_v2.0.json,Canonical Stage-20 consumption filename remains the unsuffixed file where HANDOFF_INDEX_v2.0 says so.
HAND-V-002,visual,file,09_DEVELOPER_HANDOFF/Asset_Manifest_v2.1.xlsx,Asset_Manifest_v2.1.xlsx,xlsx,2.1,,,,dc3f9a8b2e32bcd0c193e860f4c7824f7197338801f9054558cb473a2ea6e9ce,stage_manifest_stage_20_v2.0,VERSIONED_HANDOFF_COMPANION,visual_handoff_history,Versioned handoff lineage/audit companion,NESTED_FILE_MANIFEST_CONFIRMED,,stage_manifest_stage_20_v2.0.json,Canonical Stage-20 consumption filename remains the unsuffixed file where HANDOFF_INDEX_v2.0 says so.
