stage,path,present,current_size_bytes,current_sha256,historical_expected_size_bytes,historical_expected_sha256,canonical_status,validation
14,14_SECURITY_OBSERVABILITY/THREAT_MODEL.md,YES,695,386cde3b2abbd9eca360564670881d94537b3e1b4e41d151d297880b873b0018,1339,9075ec491cb84fb01dd700731d99f162b112ff1911db7e486720ce459126ae31,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
14,14_SECURITY_OBSERVABILITY/THREAT_REGISTER.csv,YES,3777,1b51791b94334b876f907233e22be56e1f797394d2c0b8aaf605037b2f311a5c,5526,dab62fc46aa72f211868b5729224f92b24e1651877d2ccd689cda551efb06f9a,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
14,14_SECURITY_OBSERVABILITY/AUDIT_LOG_SPEC.md,YES,745,ddc35b2b2e3719effa15005beda3f00ee5efbd13a623eb683a66550c938004d4,2655,fe450cdf3f285692d8fbf2e60e10c92ce01a34286bffd0530ee6804c7a22fe72,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
14,14_SECURITY_OBSERVABILITY/AUDIT_EVENT_CATALOG.csv,YES,1785,52608c7aa6b271b0127f214b318e86c1f2ef4a31372166fdf3a084932b3df67a,2836,60611623bd2e5fd1ba1031513e4be253b6016e18453523cc6e2b5821a917193e,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
14,14_SECURITY_OBSERVABILITY/LOGGING_SPEC.md,YES,754,7a9d75f7def47fc741f268eeb6526cc680051fdc2c5b5d9f76797905afc3c55d,1534,34da1a56bad970dca1550c34d4220a8a2ac5c879bae1c6bb6cf3aa31fcc2dee7,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
14,14_SECURITY_OBSERVABILITY/LOG_REDACTION_MATRIX.csv,YES,1343,2b03446907541da1283eae8f86897493ea688f2813fb4a049b48b096d0f3e900,1736,e46c57d6453d9957d88edfd9257ba0907c5bb4398a3129e970c02c3dc138b2d5,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
14,14_SECURITY_OBSERVABILITY/METRICS_SPEC.md,YES,508,5a5febfd44f5b38ae3ad334ee5b4a0c3150dac83939703420518389f555f4b41,906,45eb8f53ee7a7cc73e6f2a1e6dc0d618249acdbe766718ab59b059766e3dcdcc,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
14,14_SECURITY_OBSERVABILITY/METRICS_CATALOG.csv,YES,2580,cfad3f439520000bab21c35ddc1414ca9f9a873c137e907ddc1b855d3a44ee66,2861,9ba45057a4a3f0af3d895d76aa889be17eac7e4b870d5beb9e789db2395d068b,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
14,14_SECURITY_OBSERVABILITY/TRACING_SPEC.md,YES,779,510fd0d06d3e7eaf860ab8a5fe39024500ad8c3b093a37f56de2e6ae8961486c,1540,8d577f99bb50a4cb231c7ed031a9757d4c958e838b764a70f756c8af84ff975e,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
14,14_SECURITY_OBSERVABILITY/ALERTING_SPEC.md,YES,543,ecd8013ef011ce68d4816193d000de8601557b480ddab97ec14cd164963b166d,814,33a88a88a52943aeb57e7346bc8040980a05a11cf7abcd8c8d754c5fbb416153,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
14,14_SECURITY_OBSERVABILITY/ALERT_CATALOG.csv,YES,1727,10e5dea3663687cdeef37991ac5c7d128fe6c5a40c7fc4180c02bb657bc6c2f2,3085,1ff740ff9a4492c042cd81d17a8957de04e97f89fcf50ae036a3f936f26424d7,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
14,14_SECURITY_OBSERVABILITY/BACKUP_RESTORE.md,YES,1545,8d2c4941f7805b7c7f461fb5f52f212c42052dfe5aa6fa4a49644ca44b9bd590,3144,db0fe73ebfda828745d4a5fb61e0f0345502df7ac94f14c692862fb036188769,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
14,14_SECURITY_OBSERVABILITY/SECURITY_GOVERNANCE_GATE.md,YES,765,8c0ee456459ccdc66fd5a451920928b6cba0a8d7e433887df2df9aa50e361bce,1424,2f0ed3f46ee70ac88c02823215962f71886925ac9218f12dcd5ba082b3ead924,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
14,14_SECURITY_OBSERVABILITY/SECURITY_OBSERVABILITY_TRACEABILITY.csv,YES,15043,135cdca463ac64b7c135f3cccaeab9bc155f75137cfd9a9e9fd6b29640ee4bdb,17511,20e99c8c79fc9f69a3035f0f9ae0b7c6dbf42e9efc349c0b096797d92678dc70,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
14,14_SECURITY_OBSERVABILITY/security_observability_flow.mmd,YES,379,09355caef84a976d315f4e6e32eb02c1477ba86bcbc42d5138f9321dc257215d,672,f1377666f8fb62ea1a5b86979eace01d5dc68f46ab9216df7fc48780619d9ab5,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
14,14_SECURITY_OBSERVABILITY/STAGE15_SECURITY_TEST_HANDOFF.md,YES,1037,33a712815d7c228e74d51d0472020173d1526861e49c128b124f2e68ebc32849,1554,f35e87c5e344e82c5d886a6db68f24316b354b382efcad22a9ff3c682520d161,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
14,00_START_HERE/STAGE_14_SELF_AUDIT.md,YES,916,57a9832dc7ff9a139f449c1a7e16cda2bf8a55da7aba619d577be4731db7b2bf,2643,f9143bca77c31529e690b0cf3d1e32621ecc2cd8312b831da01ae05db2322ac7,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
14,00_START_HERE/stage_14_manifest.json,YES,5352,61e087ef958020affd78861a4ebc8931dd9a38c64ce05f90994f03f209b65480,SELF_MANIFEST_SIZE_NOT_SOURCE_HASHED,SELF_MANIFEST_HASH_NOT_SOURCE_HASHED,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
