stage,path,present,expected_size_bytes,expected_sha256,classification,source_evidence
14,14_SECURITY_OBSERVABILITY/LOG_REDACTION_MATRIX.csv,NO,1736,e46c57d6453d9957d88edfd9257ba0907c5bb4398a3129e970c02c3dc138b2d5,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
14,14_SECURITY_OBSERVABILITY/METRICS_SPEC.md,NO,906,45eb8f53ee7a7cc73e6f2a1e6dc0d618249acdbe766718ab59b059766e3dcdcc,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
14,14_SECURITY_OBSERVABILITY/METRICS_CATALOG.csv,NO,2861,9ba45057a4a3f0af3d895d76aa889be17eac7e4b870d5beb9e789db2395d068b,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
14,14_SECURITY_OBSERVABILITY/TRACING_SPEC.md,NO,1540,8d577f99bb50a4cb231c7ed031a9757d4c958e838b764a70f756c8af84ff975e,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
14,14_SECURITY_OBSERVABILITY/ALERTING_SPEC.md,NO,814,33a88a88a52943aeb57e7346bc8040980a05a11cf7abcd8c8d754c5fbb416153,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
14,14_SECURITY_OBSERVABILITY/ALERT_CATALOG.csv,NO,3085,1ff740ff9a4492c042cd81d17a8957de04e97f89fcf50ae036a3f936f26424d7,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
14,14_SECURITY_OBSERVABILITY/BACKUP_RESTORE.md,NO,3144,db0fe73ebfda828745d4a5fb61e0f0345502df7ac94f14c692862fb036188769,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
14,14_SECURITY_OBSERVABILITY/SECURITY_GOVERNANCE_GATE.md,NO,1424,2f0ed3f46ee70ac88c02823215962f71886925ac9218f12dcd5ba082b3ead924,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
14,14_SECURITY_OBSERVABILITY/SECURITY_OBSERVABILITY_TRACEABILITY.csv,NO,17511,20e99c8c79fc9f69a3035f0f9ae0b7c6dbf42e9efc349c0b096797d92678dc70,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
14,14_SECURITY_OBSERVABILITY/security_observability_flow.mmd,NO,672,f1377666f8fb62ea1a5b86979eace01d5dc68f46ab9216df7fc48780619d9ab5,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
14,14_SECURITY_OBSERVABILITY/STAGE15_SECURITY_TEST_HANDOFF.md,NO,1554,f35e87c5e344e82c5d886a6db68f24316b354b382efcad22a9ff3c682520d161,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
14,00_START_HERE/STAGE_14_SELF_AUDIT.md,NO,2643,f9143bca77c31529e690b0cf3d1e32621ecc2cd8312b831da01ae05db2322ac7,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
14,00_START_HERE/stage_14_manifest.json,NO,SELF_MANIFEST_SIZE_NOT_SOURCE_HASHED,SELF_MANIFEST_HASH_NOT_SOURCE_HASHED,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
