config_key,category,source_contracts,secret,frontend_exposable,stage13_status,production_requirement,notes
OBJECT_STORAGE_PREFIX_EXPORTS,object_storage,SAFE_ENGINEERING_DEFAULT; 12_INTEGRATIONS/OBJECT_STORAGE_PROVIDER_INTERFACE.md,NO,NO,BASELINE_CONFIGURED,DEPLOYMENT_DEFINED,
OBJECT_STORAGE_TIMEOUT_MS,object_storage,SAFE_ENGINEERING_DEFAULT; 12_INTEGRATIONS/OBJECT_STORAGE_PROVIDER_INTERFACE.md,NO,NO,OPEN_EXTERNAL_VALUE_SLOT,TUNE_WITH_REAL_CONTRACT,
OBJECT_STORAGE_MAX_ATTEMPTS,object_storage,SAFE_ENGINEERING_DEFAULT; 12_INTEGRATIONS/OBJECT_STORAGE_PROVIDER_INTERFACE.md,NO,NO,OPEN_EXTERNAL_VALUE_SLOT,TUNE_WITH_REAL_CONTRACT,
EXPORT_ARTIFACT_TTL_SECONDS,object_storage,Stage12; 12_INTEGRATIONS/OBJECT_STORAGE_PROVIDER_INTERFACE.md,NO,NO,OPEN_EXTERNAL_VALUE_SLOT,OPEN_RETENTION_POLICY,
INTEGRATIONS_EXTERNAL_NOTIFICATIONS_ENABLED,notification_external,Stage2/12; 12_INTEGRATIONS/EXTERNAL_NOTIFICATION_PROVIDER_INTERFACE.md,NO,NO,BASELINE_CONFIGURED,MUST_BE_FALSE_MVP,
EXTERNAL_NOTIFICATION_PROVIDER_KEY,notification_external,Stage12; 12_INTEGRATIONS/EXTERNAL_NOTIFICATION_PROVIDER_INTERFACE.md,NO,NO,BASELINE_CONFIGURED,FUTURE_ONLY,
EXTERNAL_NOTIFICATION_BASE_URL,notification_external,Stage12; 12_INTEGRATIONS/EXTERNAL_NOTIFICATION_PROVIDER_INTERFACE.md,NO,NO,BASELINE_CONFIGURED,FUTURE_ONLY,
EXTERNAL_NOTIFICATION_CREDENTIAL_REF,notification_external,Stage12; 12_INTEGRATIONS/EXTERNAL_NOTIFICATION_PROVIDER_INTERFACE.md,YES,NO,BASELINE_CONFIGURED,FUTURE_ONLY,
GAME_RULES_VERSION,game,Stage7,NO,NO,BASELINE_CONFIGURED,FIXED_STAGE7_BASELINE,
FF_REALTIME_3D,feature_flag,Stage2/11; 02_PRODUCT_ENGINEERING/FEATURE_FLAGS_BASELINE.md,NO,YES,BASELINE_CONFIGURED,MVP_DEFAULT_TRUE,
FF_DYNAMIC_LIGHTING_VARIANTS,feature_flag,Stage2/11; 02_PRODUCT_ENGINEERING/FEATURE_FLAGS_BASELINE.md,NO,YES,BASELINE_CONFIGURED,MVP_DEFAULT_FALSE,
FF_KTX2,feature_flag,Stage2/11; 02_PRODUCT_ENGINEERING/FEATURE_FLAGS_BASELINE.md,NO,YES,BASELINE_CONFIGURED,MVP_DEFAULT_FALSE,
ASSET_FINAL_PRODUCTION_3D_AVAILABLE,dependency_flag,Stage2/11; 02_PRODUCT_ENGINEERING/FEATURE_FLAGS_BASELINE.md,NO,YES,BASELINE_CONFIGURED,TRUE_ONLY_AFTER_VERIFIED_FINAL_ASSETS,
FF_VOICE_STT,feature_flag,Stage2/11; 02_PRODUCT_ENGINEERING/FEATURE_FLAGS_BASELINE.md,NO,YES,BASELINE_CONFIGURED,MVP_DEFAULT_TRUE,
FF_IN_APP_NOTIFICATIONS,feature_flag,Stage2/11; 02_PRODUCT_ENGINEERING/FEATURE_FLAGS_BASELINE.md,NO,YES,BASELINE_CONFIGURED,MVP_DEFAULT_TRUE,
FF_AMBIENT_CONTEXT,feature_flag,Stage2/11; 02_PRODUCT_ENGINEERING/FEATURE_FLAGS_BASELINE.md,NO,YES,BASELINE_CONFIGURED,MVP_DEFAULT_TRUE,
FF_EXPORTS,feature_flag,Stage2/11; 02_PRODUCT_ENGINEERING/FEATURE_FLAGS_BASELINE.md,NO,YES,BASELINE_CONFIGURED,MVP_DEFAULT_TRUE,
