key,category,type,secret,frontend_exposable,example_or_default,production_requirement,source,notes
EXTERNAL_NOTIFICATION_BASE_URL,notification_external,url_or_empty,NO,NO,,FUTURE_ONLY,Stage12,
EXTERNAL_NOTIFICATION_CREDENTIAL_REF,notification_external,secret_ref,YES,NO,,FUTURE_ONLY,Stage12,
GAME_RULES_VERSION,game,string,NO,NO,game_rules_v1.0-baseline.stage7,FIXED_STAGE7_BASELINE,Stage7,
FF_REALTIME_3D,feature_flag,boolean,NO,YES,true,MVP_DEFAULT_TRUE,Stage2/11,
FF_DYNAMIC_LIGHTING_VARIANTS,feature_flag,boolean,NO,YES,false,MVP_DEFAULT_FALSE,Stage2/11,
FF_KTX2,feature_flag,boolean,NO,YES,false,MVP_DEFAULT_FALSE,Stage2/11,
ASSET_FINAL_PRODUCTION_3D_AVAILABLE,dependency_flag,boolean,NO,YES,false,TRUE_ONLY_AFTER_VERIFIED_FINAL_ASSETS,Stage2/11,
FF_VOICE_STT,feature_flag,boolean,NO,YES,true,MVP_DEFAULT_TRUE,Stage2/11,
FF_IN_APP_NOTIFICATIONS,feature_flag,boolean,NO,YES,true,MVP_DEFAULT_TRUE,Stage2/11,
FF_AMBIENT_CONTEXT,feature_flag,boolean,NO,YES,true,MVP_DEFAULT_TRUE,Stage2/11,
FF_EXPORTS,feature_flag,boolean,NO,YES,true,MVP_DEFAULT_TRUE,Stage2/11,
