operation_id,method,path,roles,scope,idempotency,retry,pagination,sort,filters,screen_ids,db_refs,requirement_ids
updateAdminTool,PATCH,/v1/admin/tools/{toolId},admin,whole company admin,required,retry_same_idempotency_key,none,none,,SCR_ADMIN_TOOLS,ai_tools;ai_tool_aliases;audit_log;api_idempotency_records,PRD-TOOL-001;PRD-TOOL-002;PRD-TOOL-003;PRD-TOOL-004
listUnrecognizedTools,GET,/v1/admin/unrecognized-tools,admin,whole company admin,none,safe_read,cursor,last_seen_at:desc,,SCR_ADMIN_TOOLS,task_tools;task_versions,PRD-TOOL-001;PRD-TOOL-002;PRD-TOOL-003;PRD-TOOL-004
getCompanyAnalytics,GET,/v1/analytics/company,employee;director;executive;admin,aggregate/anonymous company scope,none,safe_read,none,none,period,SCR_COMPANY_ANALYTICS,employees;tasks;task_versions;scores_ledger;task_tools,PRD-ANL-001;PRD-ANL-002;PRD-ANL-003
logoutCurrentSession,POST,/v1/auth/logout,employee;director;executive;admin,current session,none,safe_repeat,none,none,,,auth_sessions,PRD-AUTH-001;PRD-AUTH-002;PRD-AUTH-003;PRD-AUTH-004;PRD-AUTH-005;PRD-AUTH-006;PRD-AUTH-007
verifyPersonnelIdentity,POST,/v1/auth/verify,public,public verification,none,safe_same_credentials,none,none,,SCR_AUTH_LOGIN,employees;personnel_provider_links;auth_sessions;provider_call_attempts,PRD-AUTH-001;PRD-AUTH-002;PRD-AUTH-003;PRD-AUTH-004;PRD-AUTH-005;PRD-AUTH-006;PRD-AUTH-007;PRD-EXT-001;PRD-SCREEN-001
getDirectorDashboard,GET,/v1/director/dashboard,director,own directorate only,none,safe_read,none,none,period,SCR_DIRECTOR_DASH,employees;directorates;tasks;task_versions;scores_ledger;goals,PRD-DIR-001;PRD-DIR-002;PRD-DIR-003;PRD-RBAC-001;PRD-RBAC-002;PRD-RBAC-003;PRD-RBAC-004;PRD-RBAC-005;PRD-RBAC-006;PRD-RBAC-007;PRD-RBAC-008;PRD-RBAC-009;PRD-RBAC-010;PRD-RBAC-011;PRD-RBAC-012;PRD-RBAC-013;PRD-RBAC-014;PRD-SCREEN-001
listDirectorateEmployees,GET,/v1/director/employees,director,own directorate only,none,safe_read,cursor,"[""name"", ""annual_score""]",search,SCR_DIRECTOR_DASH,employees;scores_ledger,PRD-DIR-001;PRD-DIR-002;PRD-DIR-003
getDirectorEmployeeDetail,GET,/v1/director/employees/{employeeId},director,employee in own directorate,none,safe_read,none,none,,SCR_DIRECTOR_DASH;SCR_PUBLIC_PROFILE,employees;tasks;task_versions;scores_ledger;pet_state;goals,PRD-DIR-001;PRD-DIR-002;PRD-DIR-003
getDirectorateCard,GET,/v1/directorates/{directorateId},employee;director;executive;admin,authenticated rating scope,none,safe_read,none,none,,SCR_DIRECTORATE_CARD,directorates;employees;scores_ledger,PRD-RANK-001;PRD-RANK-002;PRD-RANK-003;PRD-RANK-004;PRD-RANK-005;PRD-RANK-006;PRD-RANK-007;PRD-RANK-008;PRD-RANK-009;PRD-RANK-010
getExecutiveDashboard,GET,/v1/executive/dashboard,executive,whole company,none,safe_read,none,none,period,SCR_EXEC_DASH,employees;directorates;tasks;scores_ledger,PRD-EXEC-001;PRD-EXEC-002;PRD-RBAC-001;PRD-RBAC-002;PRD-RBAC-003;PRD-RBAC-004;PRD-RBAC-005;PRD-RBAC-006;PRD-RBAC-007;PRD-RBAC-008;PRD-RBAC-009;PRD-RBAC-010;PRD-RBAC-011;PRD-RBAC-012;PRD-RBAC-013;PRD-RBAC-014;PRD-SCREEN-001
getExecutiveDirectorateDetail,GET,/v1/executive/directorates/{directorateId},executive,whole company directorate drilldown,none,safe_read,none,none,period,SCR_EXEC_DASH;SCR_DIRECTORATE_CARD,directorates;employees;tasks;scores_ledger;goals,PRD-EXEC-001;PRD-EXEC-002
getExecutiveEmployeeDetail,GET,/v1/executive/employees/{employeeId},executive,whole company employee drilldown,none,safe_read,none,none,,SCR_EXEC_DASH;SCR_PUBLIC_PROFILE,employees;tasks;task_versions;scores_ledger;pet_state;goals,PRD-EXEC-001;PRD-EXEC-002
createExport,POST,/v1/exports,director;executive;admin,role-derived directorate/company export scope,required,retry_same_idempotency_key,none,none,,SCR_ADMIN_EXPORT,export_requests;outbox_events;api_idempotency_records;audit_log,PRD-EXP-001;PRD-EXP-002;PRD-NFR-008;PRD-RBAC-001;PRD-RBAC-002;PRD-RBAC-003;PRD-RBAC-004;PRD-RBAC-005;PRD-RBAC-006;PRD-RBAC-007;PRD-RBAC-008;PRD-RBAC-009;PRD-RBAC-010;PRD-RBAC-011;PRD-RBAC-012;PRD-RBAC-013;PRD-RBAC-014
getExportStatus,GET,/v1/exports/{exportId},director;executive;admin,request owner/authorized scope,none,safe_read_polling,none,none,,SCR_ADMIN_EXPORT,export_requests,PRD-EXP-001;PRD-EXP-002;PRD-NFR-008
downloadExport,GET,/v1/exports/{exportId}/download,director;executive;admin,re-authorized request owner/scope,none,safe_read,none,none,,SCR_ADMIN_EXPORT,export_requests,PRD-EXP-001;PRD-EXP-002;PRD-NFR-008
getCurrentGoals,GET,/v1/goals/current,employee,self,none,safe_read,none,none,,SCR_GOALS;SCR_HOME,monthly_goal_cycles;goals,PRD-GOAL-001;PRD-GOAL-002;PRD-GOAL-003;PRD-GOAL-004;PRD-GOAL-005;PRD-GOAL-006;PRD-GOAL-007;PRD-GOAL-008;PRD-GOAL-009;PRD-GOAL-010;PRD-GOAL-011;PRD-GOAL-012;PRD-GOAL-013;PRD-GOAL-014;PRD-GOAL-015;PRD-SCREEN-001
listGoalHistory,GET,/v1/goals/history,employee,self,none,safe_read,cursor,period:desc,,SCR_GOALS,monthly_goal_cycles;goals,PRD-GOAL-001;PRD-GOAL-002;PRD-GOAL-003;PRD-GOAL-004;PRD-GOAL-005;PRD-GOAL-006;PRD-GOAL-007;PRD-GOAL-008;PRD-GOAL-009;PRD-GOAL-010;PRD-GOAL-011;PRD-GOAL-012;PRD-GOAL-013;PRD-GOAL-014;PRD-GOAL-015
getGoalSetup,GET,/v1/goals/setup,employee,self,none,safe_read_polling,none,none,,SCR_GOAL_SETUP,monthly_goal_cycles;goal_options;provider_call_attempts,PRD-GOAL-001;PRD-GOAL-002;PRD-GOAL-003;PRD-GOAL-004;PRD-GOAL-005;PRD-GOAL-006;PRD-GOAL-007;PRD-GOAL-008;PRD-GOAL-009;PRD-GOAL-010;PRD-GOAL-011;PRD-GOAL-012;PRD-GOAL-013;PRD-GOAL-014;PRD-GOAL-015
submitGoalSetup,POST,/v1/goals/setup,employee,self,required,retry_same_idempotency_key,none,none,,SCR_GOAL_SETUP;SCR_GOALS,monthly_goal_cycles;goal_options;goals;api_idempotency_records;audit_log,PRD-GOAL-001;PRD-GOAL-002;PRD-GOAL-003;PRD-GOAL-004;PRD-GOAL-005;PRD-GOAL-006;PRD-GOAL-007;PRD-GOAL-008;PRD-GOAL-009;PRD-GOAL-010;PRD-GOAL-011;PRD-GOAL-012;PRD-GOAL-013;PRD-GOAL-014;PRD-GOAL-015
listMyProgressEvents,GET,/v1/history/events,employee,self,none,safe_read,cursor,"[""created_at""]",period;event_type,SCR_HISTORY_EVENTS,pet_events;scores_ledger;goals;employee_achievements,PRD-ACH-001;PRD-ACH-002;PRD-EVO-001;PRD-EVO-002;PRD-EVO-003;PRD-EVO-004;PRD-EVO-005;PRD-EVO-006;PRD-EVO-007;PRD-HIST-001;PRD-HIST-002;PRD-HIST-003;PRD-HIST-004;PRD-HP-001;PRD-HP-002;PRD-HP-003;PRD-HP-004;PRD-HP-005;PRD-HP-006;PRD-HP-007;PRD-HP-008;PRD-HP-009;PRD-HP-010;PRD-HP-011;PRD-HP-012;PRD-HP-013;PRD-HP-014;PRD-HP-015;PRD-HP-016;PRD-STR-001;PRD-STR-002;PRD-STR-003;PRD-STR-004;PRD-STR-005;PRD-STR-006
listMyTaskHistory,GET,/v1/history/tasks,employee,self,none,safe_read,cursor,"[""registered_at"", ""score""]",period;complexity;tool;category;subcategory;goal;status;search,SCR_HISTORY_TASKS,tasks;task_versions;task_tools;task_tags;goal_task_matches,PRD-HIST-001;PRD-HIST-002;PRD-HIST-003;PRD-HIST-004;PRD-SCREEN-001;PRD-TASK-019
getHome,GET,/v1/home,employee,self employee Home,none,safe_read,none,none,,SCR_HOME,pet_state;daily_activity;monthly_goal_cycles;goals;notifications;ambient_reactions,PRD-AMBIENT-001;PRD-AMBIENT-002;PRD-AMBIENT-003;PRD-AMBIENT-004;PRD-EVO-001;PRD-EVO-002;PRD-EVO-003;PRD-EVO-004;PRD-EVO-005;PRD-EVO-006;PRD-EVO-007;PRD-EXT-003;PRD-GOAL-001;PRD-GOAL-002;PRD-GOAL-003;PRD-GOAL-004;PRD-GOAL-005;PRD-GOAL-006;PRD-GOAL-007;PRD-GOAL-008;PRD-GOAL-009;PRD-GOAL-010;PRD-GOAL-011;PRD-GOAL-012;PRD-GOAL-013;PRD-GOAL-014;PRD-GOAL-015;PRD-HP-001;PRD-HP-002;PRD-HP-003;PRD-HP-004;PRD-HP-005;PRD-HP-006;PRD-HP-007;PRD-HP-008;PRD-HP-009;PRD-HP-010;PRD-HP-011;PRD-HP-012;PRD-HP-013;PRD-HP-014;PRD-HP-015;PRD-HP-016;PRD-NOTIF-001;PRD-NOTIF-002;PRD-SCREEN-001;PRD-STR-001;PRD-STR-002;PRD-STR-003;PRD-STR-004;PRD-STR-005;PRD-STR-006;VIS-HOME-004;VIS-HOME-005;VIS-HOME-006;VIS-HOME-007;VIS-MASCOT-004;VIS-MASCOT-005
getCurrentUser,GET,/v1/me,employee;director;executive;admin,self,none,safe_read,none,none,,SCR_PROFILE_SELF;SCR_HOME,employees;directorates;monthly_goal_cycles,PRD-AUTH-001;PRD-AUTH-002;PRD-AUTH-003;PRD-AUTH-004;PRD-AUTH-005;PRD-AUTH-006;PRD-AUTH-007;PRD-RBAC-001;PRD-RBAC-002;PRD-RBAC-003;PRD-RBAC-004;PRD-RBAC-005;PRD-RBAC-006;PRD-RBAC-007;PRD-RBAC-008;PRD-RBAC-009;PRD-RBAC-010;PRD-RBAC-011;PRD-RBAC-012;PRD-RBAC-013;PRD-RBAC-014
listMyAchievements,GET,/v1/me/achievements,employee;director;executive;admin,self,none,safe_read,cursor,earned_at:desc,,SCR_ACHIEVEMENTS,employee_achievements;achievements;employee_cosmetics;cosmetics,PRD-ACH-001;PRD-ACH-002
getPersonalDashboard,GET,/v1/me/dashboard,employee;director;executive;admin,self,none,safe_read,none,none,,SCR_PROFILE_SELF,scores_ledger;pet_state;daily_activity;monthly_goal_cycles;goals;tasks,PRD-ACH-001;PRD-ACH-002;PRD-DASH-001;PRD-DASH-002;PRD-DASH-003;PRD-DASH-004;PRD-DASH-005;PRD-DASH-006;PRD-DASH-007;PRD-DASH-008;PRD-EVO-001;PRD-EVO-002;PRD-EVO-003;PRD-EVO-004;PRD-EVO-005;PRD-EVO-006;PRD-EVO-007;PRD-HP-001;PRD-HP-002;PRD-HP-003;PRD-HP-004;PRD-HP-005;PRD-HP-006;PRD-HP-007;PRD-HP-008;PRD-HP-009;PRD-HP-010;PRD-HP-011;PRD-HP-012;PRD-HP-013;PRD-HP-014;PRD-HP-015;PRD-HP-016;PRD-SCREEN-001;PRD-STR-001;PRD-STR-002;PRD-STR-003;PRD-STR-004;PRD-STR-005;PRD-STR-006
getOnboardingStatus,GET,/v1/me/onboarding,employee;director;executive;admin,self,none,safe_read,none,none,,SCR_ONBOARDING,employees,PRD-AUTH-001;PRD-AUTH-002;PRD-AUTH-003;PRD-AUTH-004;PRD-AUTH-005;PRD-AUTH-006;PRD-AUTH-007
completeOnboarding,POST,/v1/me/onboarding/complete,employee;director;executive;admin,self,required,retry_same_idempotency_key,none,none,,SCR_ONBOARDING,employees;api_idempotency_records;audit_log,PRD-AUTH-001;PRD-AUTH-002;PRD-AUTH-003;PRD-AUTH-004;PRD-AUTH-005;PRD-AUTH-006;PRD-AUTH-007
updatePrivacyLevel,PATCH,/v1/me/privacy,employee;director;executive;admin,self,none,safe_set_state,none,none,,SCR_PRIVACY,employees;audit_log,PRD-PRIV-001;PRD-PRIV-002;PRD-PRIV-003;PRD-PRIV-004;PRD-PRIV-005;PRD-PRIV-006;PRD-PRIV-007
setVacationState,PUT,/v1/me/vacation,employee;director;executive;admin,self,required,retry_same_idempotency_key,none,none,,SCR_VACATION;SCR_HOME,vacation_periods;pet_state;api_idempotency_records;audit_log,
listNotifications,GET,/v1/notifications,employee;director;executive;admin,self,none,safe_read,cursor,created_at:desc,unread;type,SCR_NOTIFICATIONS;SCR_HOME,notifications,PRD-NOTIF-001;PRD-NOTIF-002
markNotificationRead,POST,/v1/notifications/{notificationId}/read,employee;director;executive;admin,self notification,none,safe_repeat,none,none,,SCR_NOTIFICATIONS,notifications,PRD-NOTIF-001;PRD-NOTIF-002
getPublicEmployeeProfile,GET,/v1/profiles/{employeeId},employee;director;executive;admin,peer privacy or privileged management scope,none,safe_read,none,none,,SCR_PUBLIC_PROFILE,employees;scores_ledger;pet_state;tasks;task_versions;task_tools,PRD-PRIV-001;PRD-PRIV-002;PRD-PRIV-003;PRD-PRIV-004;PRD-PRIV-005;PRD-PRIV-006;PRD-PRIV-007;PRD-RBAC-001;PRD-RBAC-002;PRD-RBAC-003;PRD-RBAC-004;PRD-RBAC-005;PRD-RBAC-006;PRD-RBAC-007;PRD-RBAC-008;PRD-RBAC-009;PRD-RBAC-010;PRD-RBAC-011;PRD-RBAC-012;PRD-RBAC-013;PRD-RBAC-014
listDirectorateRating,GET,/v1/ratings/directorates,employee;director;executive;admin,authenticated rating scope,none,safe_read,cursor,"[""rank"", ""average_score"", ""total_score"", ""name""]",,SCR_RATING_DIRECTORATES,scores_ledger;employees;directorates;directorate_leaderboard_snapshots,PRD-RANK-001;PRD-RANK-002;PRD-RANK-003;PRD-RANK-004;PRD-RANK-005;PRD-RANK-006;PRD-RANK-007;PRD-RANK-008;PRD-RANK-009;PRD-RANK-010
listEmployeeRating,GET,/v1/ratings/employees,employee;director;executive;admin,authenticated rating scope,none,safe_read,cursor,"[""rank"", ""annual_score"", ""name""]",search;directorate_id,SCR_RATING_EMPLOYEES,scores_ledger;employees;employee_leaderboard_snapshots,PRD-RANK-001;PRD-RANK-002;PRD-RANK-003;PRD-RANK-004;PRD-RANK-005;PRD-RANK-006;PRD-RANK-007;PRD-RANK-008;PRD-RANK-009;PRD-RANK-010;PRD-SCREEN-001
getScoringInfo,GET,/v1/scoring-info,employee;director;executive;admin,authenticated,none,safe_read,none,none,,SCR_SCORING_INFO,system_versions,PRD-AI-001;PRD-AI-002;PRD-AI-003;PRD-AI-004;PRD-AI-005;PRD-AI-006;PRD-AI-007;PRD-AI-008;PRD-AI-009;PRD-SCORE-001;PRD-SCORE-002;PRD-SCORE-003;PRD-SCORE-004;PRD-SCORE-005;PRD-SCORE-006;PRD-SCORE-007;PRD-SCORE-008;PRD-SCORE-009;PRD-SCORE-010;PRD-SCORE-011
createTask,POST,/v1/tasks,employee,owner/self,required,retry_same_idempotency_key,none,none,,SCR_CASE_ADD;SCR_CASE_PROCESSING,tasks;task_versions;ai_processing_runs;outbox_events;api_idempotency_records,PRD-EXT-002;PRD-SCREEN-001;PRD-TASK-001;PRD-TASK-002;PRD-TASK-003;PRD-TASK-004;PRD-TASK-005;PRD-TASK-006;PRD-TASK-007;PRD-TASK-008;PRD-TASK-009;PRD-TASK-011;PRD-TASK-012;PRD-TASK-013;PRD-TASK-014;PRD-TASK-017
transcribeTaskAudio,POST,/v1/tasks/voice/transcriptions,employee,self task draft,required,retry_same_idempotency_key,none,none,,SCR_CASE_VOICE;SCR_CASE_TRANSCRIPT,stt_runs;provider_call_attempts;api_idempotency_records,PRD-EXT-002;PRD-TASK-004;PRD-TASK-005
softDeleteTask,DELETE,/v1/tasks/{taskId},employee,owner only,required,retry_same_idempotency_key,none,none,,SCR_HISTORY_TASKS;SCR_CASE_DETAIL,tasks;scores_ledger;goal_task_matches;daily_activity;pet_state;outbox_events;api_idempotency_records;audit_log,PRD-TASK-019
getTask,GET,/v1/tasks/{taskId},employee;director;executive;admin,owner or authorized management scope,none,safe_read,none,none,,SCR_CASE_DETAIL,tasks;task_versions;task_links;task_tags;task_tools,PRD-DIR-001;PRD-DIR-002;PRD-DIR-003;PRD-EXEC-001;PRD-EXEC-002;PRD-RBAC-001;PRD-RBAC-002;PRD-RBAC-003;PRD-RBAC-004;PRD-RBAC-005;PRD-RBAC-006;PRD-RBAC-007;PRD-RBAC-008;PRD-RBAC-009;PRD-RBAC-010;PRD-RBAC-011;PRD-RBAC-012;PRD-RBAC-013;PRD-RBAC-014;PRD-TASK-001;PRD-TASK-002;PRD-TASK-003;PRD-TASK-006;PRD-TASK-007;PRD-TASK-008;PRD-TASK-009;PRD-TASK-011;PRD-TASK-012;PRD-TASK-013;PRD-TASK-014;PRD-TASK-015;PRD-TASK-016;PRD-TASK-017;PRD-TOOL-001;PRD-TOOL-002;PRD-TOOL-003;PRD-TOOL-004
editTask,PATCH,/v1/tasks/{taskId},employee,owner only,required,retry_same_idempotency_key,none,none,,SCR_CASE_EDIT;SCR_CASE_PROCESSING,tasks;task_versions;ai_processing_runs;scores_ledger;goal_task_matches;daily_activity;outbox_events;api_idempotency_records,PRD-TASK-006;PRD-TASK-018
answerTaskClarification,POST,/v1/tasks/{taskId}/clarifications/{clarificationId}/answer,employee,owner only,required,retry_same_idempotency_key,none,none,,SCR_CASE_CLARIFY;SCR_CASE_PROCESSING,task_clarifications;ai_processing_runs;outbox_events;api_idempotency_records,PRD-AI-001;PRD-AI-002;PRD-AI-003;PRD-AI-004;PRD-AI-005;PRD-AI-006;PRD-AI-007;PRD-AI-008;PRD-AI-009;PRD-SCORE-001;PRD-SCORE-002;PRD-SCORE-003;PRD-SCORE-004;PRD-SCORE-005;PRD-SCORE-006;PRD-SCORE-007;PRD-SCORE-008;PRD-SCORE-009;PRD-SCORE-010;PRD-SCORE-011;PRD-TASK-010
getTaskProcessingState,GET,/v1/tasks/{taskId}/processing,employee,owner only,none,safe_read_polling,none,none,,SCR_CASE_PROCESSING;SCR_CASE_CLARIFY,tasks;task_versions;ai_processing_runs;task_clarifications,PRD-AI-001;PRD-AI-002;PRD-AI-003;PRD-AI-004;PRD-AI-005;PRD-AI-006;PRD-AI-007;PRD-AI-008;PRD-AI-009;PRD-EXT-002;PRD-SCORE-001;PRD-SCORE-002;PRD-SCORE-003;PRD-SCORE-004;PRD-SCORE-005;PRD-SCORE-006;PRD-SCORE-007;PRD-SCORE-008;PRD-SCORE-009;PRD-SCORE-010;PRD-SCORE-011;PRD-TASK-001;PRD-TASK-002;PRD-TASK-003;PRD-TASK-007;PRD-TASK-008;PRD-TASK-009;PRD-TASK-010;PRD-TASK-011;PRD-TASK-012;PRD-TASK-013;PRD-TASK-014;PRD-TASK-017
getTaskResult,GET,/v1/tasks/{taskId}/result,employee;director;executive;admin,owner or authorized management scope,none,safe_read_polling,none,none,,SCR_CASE_RESULT;SCR_CASE_DETAIL,tasks;task_versions;scores_ledger;goal_task_matches;goals;task_tools,PRD-AI-001;PRD-AI-002;PRD-AI-003;PRD-AI-004;PRD-AI-005;PRD-AI-006;PRD-AI-007;PRD-AI-008;PRD-AI-009;PRD-SCORE-001;PRD-SCORE-002;PRD-SCORE-003;PRD-SCORE-004;PRD-SCORE-005;PRD-SCORE-006;PRD-SCORE-007;PRD-SCORE-008;PRD-SCORE-009;PRD-SCORE-010;PRD-SCORE-011;PRD-TASK-001;PRD-TASK-002;PRD-TASK-003;PRD-TASK-007;PRD-TASK-008;PRD-TASK-009;PRD-TASK-011;PRD-TASK-012;PRD-TASK-013;PRD-TASK-014;PRD-TASK-015;PRD-TASK-016;PRD-TASK-017
listTaskVersions,GET,/v1/tasks/{taskId}/versions,employee;director;executive;admin,owner or authorized management audit scope,none,safe_read,cursor,version_no:desc,,SCR_CASE_DETAIL;SCR_HISTORY_TASKS,tasks;task_versions,PRD-AUDIT-001;PRD-AUDIT-002;PRD-AUDIT-003;PRD-HIST-001;PRD-HIST-002;PRD-HIST-003;PRD-HIST-004;PRD-TASK-018
getTaskVersion,GET,/v1/tasks/{taskId}/versions/{versionNo},employee;director;executive;admin,owner or authorized management audit scope,none,safe_read,none,none,,SCR_CASE_DETAIL;SCR_HISTORY_TASKS,tasks;task_versions,PRD-AUDIT-001;PRD-AUDIT-002;PRD-AUDIT-003;PRD-HIST-001;PRD-HIST-002;PRD-HIST-003;PRD-HIST-004;PRD-TASK-018
