requirement_id,priority,domain,normalized_requirement,stage9_artifacts,status,external_dependency
PRD-RANK-007,P0,Ratings & privacy,Directorate card includes internal employee leaderboard; profile detail respects peer privacy level.,OBJECT_AUTHORIZATION.md; RBAC_MATRIX.csv,MAPPED,NO
PRD-RANK-008,P0,Ratings & privacy,Each task/version preserves directorate_id_at_task_time; pre-transfer points remain attributed historically.,OBJECT_AUTHORIZATION.md; RBAC_MATRIX.csv,MAPPED,NO
PRD-RANK-009,P0,Ratings & privacy,Terminated employees leave current individual ranking/current denominator while historical analytics remain.,OBJECT_AUTHORIZATION.md; RBAC_MATRIX.csv,MAPPED,NO
PRD-RANK-010,P0,Ratings & privacy,Admin can hide terminated/inactive profiles without deleting history.,OBJECT_AUTHORIZATION.md; RBAC_MATRIX.csv,MAPPED,NO
PRD-PRIV-001,P0,Ratings & privacy,"Peer privacy levels are Closed, Standard (default) and Open.",OBJECT_AUTHORIZATION.md; RBAC_MATRIX.csv,MAPPED,NO
PRD-PRIV-002,P0,Ratings & privacy,Closed exposes only mandatory public fields.,OBJECT_AUTHORIZATION.md; RBAC_MATRIX.csv,MAPPED,NO
PRD-PRIV-003,P0,Ratings & privacy,"Standard adds approved aggregates such as task count, complexity distribution, streak, goals, achievements and AI tools.",OBJECT_AUTHORIZATION.md; RBAC_MATRIX.csv,MAPPED,NO
PRD-PRIV-004,P0,Ratings & privacy,"Open additionally exposes normalized AI-case description, tool(s), Complexity and score.",OBJECT_AUTHORIZATION.md; RBAC_MATRIX.csv,MAPPED,NO
PRD-PRIV-005,P0,Ratings & privacy,"Raw input, clarification log and task links are never exposed to peers, including Open privacy.",OBJECT_AUTHORIZATION.md; RBAC_MATRIX.csv,MAPPED,NO
PRD-PRIV-006,P0,Ratings & privacy,Employee may change privacy at any time; the change applies immediately.,OBJECT_AUTHORIZATION.md; RBAC_MATRIX.csv,MAPPED,NO
PRD-PRIV-007,P0,Ratings & privacy,Peer privacy does not restrict authorized Director/Executive/Admin scope.,OBJECT_AUTHORIZATION.md; RBAC_MATRIX.csv,MAPPED,NO
PRD-DATA-001,P0,"Data, audit & integrations","Personnel identity, current directorate, application role/status and active state are represented separately from immutable task history.",PERSONNEL_SYNC_MODEL.md; OBJECT_AUTHORIZATION.md; AUTH_SPEC.md,MAPPED,NO
PRD-DATA-002,P0,"Data, audit & integrations","Task/version data preserves raw input, normalized description, processing/classification output, timestamps and version lineage needed for audit.",PERSONNEL_SYNC_MODEL.md; OBJECT_AUTHORIZATION.md; AUTH_SPEC.md,MAPPED,NO
PRD-DATA-003,P0,"Data, audit & integrations","Task-tool mapping supports recognized/unrecognized tools, primary flag, role description and sequence when known.",PERSONNEL_SYNC_MODEL.md; OBJECT_AUTHORIZATION.md; AUTH_SPEC.md,MAPPED,NO
PRD-DATA-004,P0,"Data, audit & integrations",Task URLs are stored independently and can be removed without the application opening/analyzing them.,PERSONNEL_SYNC_MODEL.md; OBJECT_AUTHORIZATION.md; AUTH_SPEC.md,MAPPED,NO
PRD-DATA-005,P0,"Data, audit & integrations","Score accounting uses event/ledger semantics with deltas, source references, directorate attribution, SPB event date and reversal linkage.",PERSONNEL_SYNC_MODEL.md; OBJECT_AUTHORIZATION.md; AUTH_SPEC.md,MAPPED,NO
PRD-DATA-006,P0,"Data, audit & integrations","Pet state covers HP, health state, vacation, current/best streak, Evolution XP/stage/branch and coma recovery progress.",PERSONNEL_SYNC_MODEL.md; OBJECT_AUTHORIZATION.md; AUTH_SPEC.md,MAPPED,NO
PRD-DATA-007,P0,"Data, audit & integrations","Daily activity preserves working-day/vacation context, task count and maximum Complexity needed to reproduce HP/streak.",PERSONNEL_SYNC_MODEL.md; OBJECT_AUTHORIZATION.md; AUTH_SPEC.md,MAPPED,NO
PRD-AUDIT-001,P0,"Data, audit & integrations",Task edit/delete/recalculation must remain reproducible through versioning and ledger/reversal semantics rather than destructive overwrite.,PERSONNEL_SYNC_MODEL.md; OBJECT_AUTHORIZATION.md; AUTH_SPEC.md,MAPPED,NO
PRD-AUDIT-002,P0,"Data, audit & integrations",End-of-day jobs must be idempotent and support safe recalculation after edit/delete.,PERSONNEL_SYNC_MODEL.md; OBJECT_AUTHORIZATION.md; AUTH_SPEC.md,MAPPED,NO
PRD-AUDIT-003,P0,"Data, audit & integrations",Goal rule_json must be declarative/backend-executable; free-form LLM judgment alone cannot decide goal completion.,PERSONNEL_SYNC_MODEL.md; OBJECT_AUTHORIZATION.md; AUTH_SPEC.md,MAPPED,NO
PRD-EXT-001,P0_EXTERNAL_INTEGRATION,"Data, audit & integrations","Corporate Personnel integration is required, but protocol/base URL/auth/unique employee key/normalization/sync details are not supplied and must not be invented.",PERSONNEL_SYNC_MODEL.md; OBJECT_AUTHORIZATION.md; AUTH_SPEC.md,MAPPED,YES
PRD-EXT-002,P0_EXTERNAL_INTEGRATION,"Data, audit & integrations",LLM and STT are provider dependencies; current source set does not freeze production vendor endpoint/credentials/model.,PERSONNEL_SYNC_MODEL.md; OBJECT_AUTHORIZATION.md; AUTH_SPEC.md,MAPPED,YES
PRD-NFR-001,P0,"Data, audit & integrations",Application is online-first/online-only for data mutation and must handle network failure explicitly.,PERSONNEL_SYNC_MODEL.md; OBJECT_AUTHORIZATION.md; AUTH_SPEC.md,MAPPED,NO
PRD-NFR-002,P0,"Data, audit & integrations","Role/object authorization, privacy and auditability are backend-enforced invariants.",PERSONNEL_SYNC_MODEL.md; OBJECT_AUTHORIZATION.md; AUTH_SPEC.md,MAPPED,NO
PRD-NFR-003,P0,"Data, audit & integrations",No real production credentials/secrets are defined by the source set.,PERSONNEL_SYNC_MODEL.md; OBJECT_AUTHORIZATION.md; AUTH_SPEC.md,MAPPED,NO
