requirement_id,release_priority,integration_boundary,normalized_requirement,stage12_artifacts,stage12_status,external_value_required_now,notes
PRD-NOTIF-002,P0,in_app_only_external_provider_disabled,"Notification domains include pet health, Monthly Goals, streak, progress events and limited leaderboard events.",12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md; 12_INTEGRATIONS/EXTERNAL_NOTIFICATION_PROVIDER_INTERFACE.md; 12_INTEGRATIONS/REAL_EXTERNAL_NOTIFICATION_CONTRACT.md,MAPPED,NO,Provider-neutral/safe no-provider boundary; no vendor endpoint or credential invented.
PRD-ADMIN-002,P0,application_managed_not_external_provider,"Admin can manage directorates, transfers, directors, system role/status, block/unblock, exceptional manual employees and personnel corrections.",12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md; 12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md#5-non-provider-product-boundaries; 09_AUTH_RBAC_PERSONNEL/PERSONNEL_SYNC_MODEL.md,MAPPED,NO,Provider-neutral/safe no-provider boundary; no vendor endpoint or credential invented.
PRD-ADMIN-003,P0,application_managed_not_external_provider,"Administrative changes are auditable with actor, action, entity, old value, new value and timestamp.",12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md; 12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md#5-non-provider-product-boundaries; 09_AUTH_RBAC_PERSONNEL/PERSONNEL_SYNC_MODEL.md,MAPPED,NO,Provider-neutral/safe no-provider boundary; no vendor endpoint or credential invented.
PRD-CAL-001,P0,application_managed_not_external_provider,"A single corporate calendar defines weekends, official holidays and manually added company non-working days.",12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md; 12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md#5-non-provider-product-boundaries; 09_AUTH_RBAC_PERSONNEL/PERSONNEL_SYNC_MODEL.md,MAPPED,NO,Provider-neutral/safe no-provider boundary; no vendor endpoint or credential invented.
PRD-EXP-001,P0,object_storage_export_boundary,Exports support XLSX and CSV with role-based scope.,12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md; 12_INTEGRATIONS/OBJECT_STORAGE_PROVIDER_INTERFACE.md; 12_INTEGRATIONS/MOCK_OBJECT_STORAGE_PROVIDER_SPEC.md; 12_INTEGRATIONS/REAL_OBJECT_STORAGE_CONTRACT.md,MAPPED,NO,Provider-neutral/safe no-provider boundary; no vendor endpoint or credential invented.
PRD-EXP-002,P0,object_storage_export_boundary,"Task-level export can represent current task version or, in audit mode, a specific historical version.",12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md; 12_INTEGRATIONS/OBJECT_STORAGE_PROVIDER_INTERFACE.md; 12_INTEGRATIONS/MOCK_OBJECT_STORAGE_PROVIDER_SPEC.md; 12_INTEGRATIONS/REAL_OBJECT_STORAGE_CONTRACT.md,MAPPED,NO,Provider-neutral/safe no-provider boundary; no vendor endpoint or credential invented.
PRD-DATA-001,P0,provider_data_authority_isolated,"Personnel identity, current directorate, application role/status and active state are represented separately from immutable task history.",12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md; 12_INTEGRATIONS/PROVIDER_ERROR_MODEL.md; 12_INTEGRATIONS/PROVIDER_REGISTRY.csv,MAPPED,NO,Provider-neutral/safe no-provider boundary; no vendor endpoint or credential invented.
PRD-DATA-002,P0,provider_data_authority_isolated,"Task/version data preserves raw input, normalized description, processing/classification output, timestamps and version lineage needed for audit.",12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md; 12_INTEGRATIONS/PROVIDER_ERROR_MODEL.md; 12_INTEGRATIONS/PROVIDER_REGISTRY.csv,MAPPED,NO,Provider-neutral/safe no-provider boundary; no vendor endpoint or credential invented.
PRD-DATA-003,P0,provider_data_authority_isolated,"Task-tool mapping supports recognized/unrecognized tools, primary flag, role description and sequence when known.",12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md; 12_INTEGRATIONS/PROVIDER_ERROR_MODEL.md; 12_INTEGRATIONS/PROVIDER_REGISTRY.csv,MAPPED,NO,Provider-neutral/safe no-provider boundary; no vendor endpoint or credential invented.
PRD-DATA-004,P0,provider_data_authority_isolated,Task URLs are stored independently and can be removed without the application opening/analyzing them.,12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md; 12_INTEGRATIONS/PROVIDER_ERROR_MODEL.md; 12_INTEGRATIONS/PROVIDER_REGISTRY.csv,MAPPED,NO,Provider-neutral/safe no-provider boundary; no vendor endpoint or credential invented.
PRD-DATA-005,P0,provider_data_authority_isolated,"Score accounting uses event/ledger semantics with deltas, source references, directorate attribution, SPB event date and reversal linkage.",12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md; 12_INTEGRATIONS/PROVIDER_ERROR_MODEL.md; 12_INTEGRATIONS/PROVIDER_REGISTRY.csv,MAPPED,NO,Provider-neutral/safe no-provider boundary; no vendor endpoint or credential invented.
PRD-DATA-006,P0,provider_data_authority_isolated,"Pet state covers HP, health state, vacation, current/best streak, Evolution XP/stage/branch and coma recovery progress.",12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md; 12_INTEGRATIONS/PROVIDER_ERROR_MODEL.md; 12_INTEGRATIONS/PROVIDER_REGISTRY.csv,MAPPED,NO,Provider-neutral/safe no-provider boundary; no vendor endpoint or credential invented.
PRD-DATA-007,P0,provider_data_authority_isolated,"Daily activity preserves working-day/vacation context, task count and maximum Complexity needed to reproduce HP/streak.",12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md; 12_INTEGRATIONS/PROVIDER_ERROR_MODEL.md; 12_INTEGRATIONS/PROVIDER_REGISTRY.csv,MAPPED,NO,Provider-neutral/safe no-provider boundary; no vendor endpoint or credential invented.
PRD-AUDIT-001,P0,provider_data_authority_isolated,Task edit/delete/recalculation must remain reproducible through versioning and ledger/reversal semantics rather than destructive overwrite.,12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md; 12_INTEGRATIONS/PROVIDER_ERROR_MODEL.md; 12_INTEGRATIONS/PROVIDER_REGISTRY.csv,MAPPED,NO,Provider-neutral/safe no-provider boundary; no vendor endpoint or credential invented.
PRD-AUDIT-002,P0,provider_data_authority_isolated,End-of-day jobs must be idempotent and support safe recalculation after edit/delete.,12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md; 12_INTEGRATIONS/PROVIDER_ERROR_MODEL.md; 12_INTEGRATIONS/PROVIDER_REGISTRY.csv,MAPPED,NO,Provider-neutral/safe no-provider boundary; no vendor endpoint or credential invented.
PRD-AUDIT-003,P0,provider_data_authority_isolated,Goal rule_json must be declarative/backend-executable; free-form LLM judgment alone cannot decide goal completion.,12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md; 12_INTEGRATIONS/PROVIDER_ERROR_MODEL.md; 12_INTEGRATIONS/PROVIDER_REGISTRY.csv,MAPPED,NO,Provider-neutral/safe no-provider boundary; no vendor endpoint or credential invented.
PRD-EXT-001,P0_EXTERNAL_INTEGRATION,personnel_existing_stage9,"Corporate Personnel integration is required, but protocol/base URL/auth/unique employee key/normalization/sync details are not supplied and must not be invented.",12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md; 09_AUTH_RBAC_PERSONNEL/PERSONNEL_PROVIDER_INTERFACE.md; 09_AUTH_RBAC_PERSONNEL/MOCK_PERSONNEL_PROVIDER_SPEC.md; 09_AUTH_RBAC_PERSONNEL/REAL_PERSONNEL_CONTRACT.md; 12_INTEGRATIONS/PROVIDER_REGISTRY.csv,MAPPED,NO,Provider-neutral/safe no-provider boundary; no vendor endpoint or credential invented.
PRD-EXT-002,P0_EXTERNAL_INTEGRATION,llm_stt_existing_stage8,LLM and STT are provider dependencies; current source set does not freeze production vendor endpoint/credentials/model.,12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md; 07_AI_RUNTIME/MODEL_PROVIDER_INTERFACE.md; 07_AI_RUNTIME/STT_PROVIDER_INTERFACE.md; 12_INTEGRATIONS/PROVIDER_REGISTRY.csv,MAPPED,NO,Provider-neutral/safe no-provider boundary; no vendor endpoint or credential invented.
PRD-NFR-001,P0,shared_provider_failure_security,Application is online-first/online-only for data mutation and must handle network failure explicitly.,12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md; 12_INTEGRATIONS/PROVIDER_ERROR_MODEL.md; 12_INTEGRATIONS/INTEGRATION_FAILURE_POLICY.md; 12_INTEGRATIONS/INTEGRATION_CONFIG_KEYS.md,MAPPED,NO,Provider-neutral/safe no-provider boundary; no vendor endpoint or credential invented.
PRD-NFR-002,P0,shared_provider_failure_security,"Role/object authorization, privacy and auditability are backend-enforced invariants.",12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md; 12_INTEGRATIONS/PROVIDER_ERROR_MODEL.md; 12_INTEGRATIONS/INTEGRATION_FAILURE_POLICY.md; 12_INTEGRATIONS/INTEGRATION_CONFIG_KEYS.md,MAPPED,NO,Provider-neutral/safe no-provider boundary; no vendor endpoint or credential invented.
PRD-NFR-003,P0,shared_provider_failure_security,No real production credentials/secrets are defined by the source set.,12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md; 12_INTEGRATIONS/PROVIDER_ERROR_MODEL.md; 12_INTEGRATIONS/INTEGRATION_FAILURE_POLICY.md; 12_INTEGRATIONS/INTEGRATION_CONFIG_KEYS.md,MAPPED,NO,Provider-neutral/safe no-provider boundary; no vendor endpoint or credential invented.
PRD-AMBIENT-003,P0,ambient_weather_only,"Ambient external context is limited to Saint Petersburg weather/temperature/precipitation, season, time of day, day of week and official holidays.",12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md; 12_INTEGRATIONS/WEATHER_PROVIDER_INTERFACE.md; 12_INTEGRATIONS/INTEGRATION_FAILURE_POLICY.md,MAPPED,NO,Provider-neutral/safe no-provider boundary; no vendor endpoint or credential invented.
PRD-AMBIENT-004,P0,ambient_weather_only,"Ambient layer excludes news, politics and complex information search.",12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md; 12_INTEGRATIONS/WEATHER_PROVIDER_INTERFACE.md; 12_INTEGRATIONS/INTEGRATION_FAILURE_POLICY.md,MAPPED,NO,Provider-neutral/safe no-provider boundary; no vendor endpoint or credential invented.
PRD-NFR-008,P0,async_export_storage,Large-period exports must execute safely without blocking the interactive application interface.,12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md; 12_INTEGRATIONS/OBJECT_STORAGE_PROVIDER_INTERFACE.md; 12_INTEGRATIONS/INTEGRATION_FAILURE_POLICY.md,MAPPED,NO,Provider-neutral/safe no-provider boundary; no vendor endpoint or credential invented.
PRD-EXT-003,P0_OPTIONAL_EXTERNAL_INTEGRATION,weather_optional,Weather API for Saint Petersburg ambient context is optional in MVP but anticipated by Product; its real provider contract is not frozen.,12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md; 12_INTEGRATIONS/WEATHER_PROVIDER_INTERFACE.md; 12_INTEGRATIONS/MOCK_WEATHER_PROVIDER_SPEC.md; 12_INTEGRATIONS/REAL_WEATHER_CONTRACT.md,MAPPED_OPTIONAL_SAFE_DISABLED_PATH,NO,Provider-neutral/safe no-provider boundary; no vendor endpoint or credential invented.
