requirement_id,release_priority,runtime_area,normalized_requirement,stage8_artifacts,enforcement,evaluation_gate,stage8_status,source_file,notes
PRD-PRINC-011,P0,runtime_integrity,"Task versions, deletions and system events are retained rather than overwritten.",07_AI_RUNTIME/AI_RUNTIME_SPEC.md; 07_AI_RUNTIME/PROMPTS/system_processing.md,backend_authority_boundary; typed_output; versioned_runtime,G-AI-02/G-AI-04,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-TASK-001,P0,task_ai_pipeline,"The user-facing AI task is an already completed AI-assisted work use case, not a future to-do item.",07_AI_RUNTIME/AI_RUNTIME_SPEC.md; 07_AI_RUNTIME/AI_STATE_MACHINE.md; 07_AI_RUNTIME/ai_processing_schema.json,accepted_input_durable; typed_pipeline; current_version_check,N/A,MAPPED,AI_TAMAGOTCHI_VISUAL_PACKAGE_v1.0/00_README/PROJECT_DECISION_OVERRIDE_v2.0.md,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-TASK-002,P0,task_ai_pipeline,Employee may register an unlimited number of AI tasks.,07_AI_RUNTIME/AI_RUNTIME_SPEC.md; 07_AI_RUNTIME/AI_STATE_MACHINE.md; 07_AI_RUNTIME/ai_processing_schema.json,accepted_input_durable; typed_pipeline; current_version_check,N/A,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-TASK-003,P0,task_ai_pipeline,Task input supports text.,07_AI_RUNTIME/AI_RUNTIME_SPEC.md; 07_AI_RUNTIME/AI_STATE_MACHINE.md; 07_AI_RUNTIME/ai_processing_schema.json,accepted_input_durable; typed_pipeline; current_version_check,N/A,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-TASK-004,P0,stt,Voice flow is record → STT → transcript preview → user correction → submit.,07_AI_RUNTIME/STT_PROVIDER_INTERFACE.md; 07_AI_RUNTIME/AI_RUNTIME_SPEC.md#12-stt-boundary,ephemeral_audio; employee_confirmed_transcript,N/A,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-TASK-005,P0,stt,Source audio is not retained after recognition.,07_AI_RUNTIME/STT_PROVIDER_INTERFACE.md; 07_AI_RUNTIME/AI_RUNTIME_SPEC.md#12-stt-boundary,ephemeral_audio; employee_confirmed_transcript,N/A,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-TASK-006,P0,url_safety,A task may contain one or more URLs; URLs are stored but not opened/analyzed.,07_AI_RUNTIME/AI_RUNTIME_SPEC.md#10-prompt-injection-resistance; 07_AI_RUNTIME/PROMPTS/system_processing.md; 07_AI_RUNTIME/EVALUATION/REGRESSION_GATES.md,url_string_only; no_fetch,G-AI-06,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-TASK-007,P0,task_ai_pipeline,"Ingestion persists raw input, channel, timestamp and user/context.",07_AI_RUNTIME/AI_RUNTIME_SPEC.md; 07_AI_RUNTIME/AI_STATE_MACHINE.md; 07_AI_RUNTIME/ai_processing_schema.json,accepted_input_durable; typed_pipeline; current_version_check,N/A,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-TASK-008,P0,task_ai_pipeline,"Processing extracts asserted facts, AI tools, workflow evidence, result and evidence signals.",07_AI_RUNTIME/AI_RUNTIME_SPEC.md; 07_AI_RUNTIME/AI_STATE_MACHINE.md; 07_AI_RUNTIME/ai_processing_schema.json,accepted_input_durable; typed_pipeline; current_version_check,N/A,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-TASK-009,P0,task_ai_pipeline,Processing performs plausibility assessment before final scoring.,07_AI_RUNTIME/AI_RUNTIME_SPEC.md; 07_AI_RUNTIME/AI_STATE_MACHINE.md; 07_AI_RUNTIME/ai_processing_schema.json,accepted_input_durable; typed_pipeline; current_version_check,N/A,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-TASK-010,P0,task_ai_pipeline,Clarifications are asked only when needed and share a maximum of three per task version.,07_AI_RUNTIME/AI_RUNTIME_SPEC.md; 07_AI_RUNTIME/AI_STATE_MACHINE.md; 07_AI_RUNTIME/ai_processing_schema.json,accepted_input_durable; typed_pipeline; current_version_check,N/A,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-TASK-011,P0,task_ai_pipeline,System generates a concise normalized description that the employee does not directly edit.,07_AI_RUNTIME/AI_RUNTIME_SPEC.md; 07_AI_RUNTIME/AI_STATE_MACHINE.md; 07_AI_RUNTIME/ai_processing_schema.json,accepted_input_durable; typed_pipeline; current_version_check,N/A,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-TASK-012,P0,task_ai_pipeline,System assigns category/subcategory/tags and maps mentioned AI tools.,07_AI_RUNTIME/AI_RUNTIME_SPEC.md; 07_AI_RUNTIME/AI_STATE_MACHINE.md; 07_AI_RUNTIME/ai_processing_schema.json,accepted_input_durable; typed_pipeline; current_version_check,N/A,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-TASK-013,P0,task_ai_pipeline,System assigns Complexity C1–C5; numerical points come from fixed backend mapping.,07_AI_RUNTIME/AI_RUNTIME_SPEC.md; 07_AI_RUNTIME/AI_STATE_MACHINE.md; 07_AI_RUNTIME/ai_processing_schema.json,accepted_input_durable; typed_pipeline; current_version_check,N/A,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-TASK-014,P0,backend_handoff,Accepted task is matched to active Monthly Goals and triggers game/progress updates.,07_AI_RUNTIME/AI_RUNTIME_SPEC.md#3-processing-pipeline; 07_AI_RUNTIME/PROMPTS/goal_generation.md; 07_AI_RUNTIME/goal_generation_schema.json,llm_proposal_only; backend_goal_and_game_authority,N/A,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-TASK-015,P0,backend_handoff,"Post-task result shows points, C-level, normalized description, goal contribution, Evolution XP impact and mascot reaction.",07_AI_RUNTIME/AI_RUNTIME_SPEC.md#3-processing-pipeline; 07_AI_RUNTIME/PROMPTS/goal_generation.md; 07_AI_RUNTIME/goal_generation_schema.json,llm_proposal_only; backend_goal_and_game_authority,N/A,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-TASK-016,P0,backend_handoff,Category/subcategory/tool detail is available through a details action instead of overloading the compact result card.,07_AI_RUNTIME/AI_RUNTIME_SPEC.md#3-processing-pipeline; 07_AI_RUNTIME/PROMPTS/goal_generation.md; 07_AI_RUNTIME/goal_generation_schema.json,llm_proposal_only; backend_goal_and_game_authority,N/A,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-TASK-017,P0,task_ai_pipeline,Task date equals application registration date and cannot be backdated.,07_AI_RUNTIME/AI_RUNTIME_SPEC.md; 07_AI_RUNTIME/AI_STATE_MACHINE.md; 07_AI_RUNTIME/ai_processing_schema.json,accepted_input_durable; typed_pipeline; current_version_check,N/A,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-TASK-018,P0,task_ai_pipeline,Editing a task creates/recalculates a new version; historical versions remain preserved.,07_AI_RUNTIME/AI_RUNTIME_SPEC.md; 07_AI_RUNTIME/AI_STATE_MACHINE.md; 07_AI_RUNTIME/ai_processing_schema.json,accepted_input_durable; typed_pipeline; current_version_check,N/A,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-TASK-019,P0,task_ai_pipeline,Soft deletion excludes a task from current views/calculations while retaining audit/version history and ledger correction semantics.,07_AI_RUNTIME/AI_RUNTIME_SPEC.md; 07_AI_RUNTIME/AI_STATE_MACHINE.md; 07_AI_RUNTIME/ai_processing_schema.json,accepted_input_durable; typed_pipeline; current_version_check,N/A,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-AI-001,P0,ai_processing,"Plausibility state vocabulary includes valid, ambiguous, capability_conflict, internal_contradiction and insufficient_data.",07_AI_RUNTIME/AI_RUNTIME_SPEC.md; 07_AI_RUNTIME/AI_STATE_MACHINE.md; 07_AI_RUNTIME/ai_processing_schema.json,typed_plausibility; backend_clarification_cap; trusted_context_validation,N/A,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-AI-002,P0,ai_processing,"Clarification questions are one at a time, brief, non-repetitive and asked only when they can affect correctness/classification.",07_AI_RUNTIME/AI_RUNTIME_SPEC.md; 07_AI_RUNTIME/AI_STATE_MACHINE.md; 07_AI_RUNTIME/ai_processing_schema.json; 07_AI_RUNTIME/PROMPTS/clarification.md; 07_AI_RUNTIME/EVALUATION/REGRESSION_GATES.md,typed_plausibility; backend_clarification_cap; trusted_context_validation,G-AI-02/G-AI-04,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-AI-003,P0,ai_processing,"The maximum of three questions is shared across plausibility, duplicate and Complexity clarification.",07_AI_RUNTIME/AI_RUNTIME_SPEC.md; 07_AI_RUNTIME/AI_STATE_MACHINE.md; 07_AI_RUNTIME/ai_processing_schema.json; 07_AI_RUNTIME/PROMPTS/clarification.md; 07_AI_RUNTIME/EVALUATION/REGRESSION_GATES.md,typed_plausibility; backend_clarification_cap; trusted_context_validation,G-AI-02/G-AI-04,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-AI-004,P0,ai_processing,"Clarification priority is plausibility/task semantics and missing facts, then Complexity evidence; duplicate check consumes the same limit.",07_AI_RUNTIME/AI_RUNTIME_SPEC.md; 07_AI_RUNTIME/AI_STATE_MACHINE.md; 07_AI_RUNTIME/ai_processing_schema.json; 07_AI_RUNTIME/PROMPTS/clarification.md; 07_AI_RUNTIME/EVALUATION/REGRESSION_GATES.md,typed_plausibility; backend_clarification_cap; trusted_context_validation,G-AI-02/G-AI-04,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-AI-005,P0,ai_processing,"After three questions, unresolved ambiguity does not penalize the employee; scoring proceeds.",07_AI_RUNTIME/AI_RUNTIME_SPEC.md; 07_AI_RUNTIME/AI_STATE_MACHINE.md; 07_AI_RUNTIME/ai_processing_schema.json; 07_AI_RUNTIME/PROMPTS/clarification.md; 07_AI_RUNTIME/EVALUATION/REGRESSION_GATES.md,typed_plausibility; backend_clarification_cap; trusted_context_validation,G-AI-02/G-AI-04,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-AI-006,P0,ai_processing,The system must not label an employee statement as a lie or accuse the employee.,07_AI_RUNTIME/AI_RUNTIME_SPEC.md; 07_AI_RUNTIME/AI_STATE_MACHINE.md; 07_AI_RUNTIME/ai_processing_schema.json; 07_AI_RUNTIME/PROMPTS/clarification.md; 07_AI_RUNTIME/EVALUATION/REGRESSION_GATES.md,typed_plausibility; backend_clarification_cap; trusted_context_validation,G-AI-02/G-AI-04,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-AI-007,P0,ai_processing,High similarity to a recent task may trigger a question whether it is a separate execution.,07_AI_RUNTIME/AI_RUNTIME_SPEC.md; 07_AI_RUNTIME/AI_STATE_MACHINE.md; 07_AI_RUNTIME/ai_processing_schema.json; 07_AI_RUNTIME/PROMPTS/clarification.md; 07_AI_RUNTIME/EVALUATION/REGRESSION_GATES.md,typed_plausibility; backend_clarification_cap; trusted_context_validation,G-AI-02/G-AI-04,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-AI-008,P0,ai_processing,"If employee confirms a separate execution, both tasks score independently; similarity alone cannot deny points.",07_AI_RUNTIME/AI_RUNTIME_SPEC.md; 07_AI_RUNTIME/AI_STATE_MACHINE.md; 07_AI_RUNTIME/ai_processing_schema.json; 07_AI_RUNTIME/PROMPTS/clarification.md; 07_AI_RUNTIME/EVALUATION/REGRESSION_GATES.md,typed_plausibility; backend_clarification_cap; trusted_context_validation,G-AI-02/G-AI-04,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-SCORE-001,P0,complexity_classification,Complexity is the only base scoring dimension; business importance is not a separate scoring factor.,07_AI_RUNTIME/PROMPTS/classification.md; 07_AI_RUNTIME/ai_processing_schema.json; 07_AI_RUNTIME/EVALUATION/AI_EVAL_SPEC.md; 07_AI_RUNTIME/EVALUATION/REGRESSION_GATES.md,c_level_only; no_numeric_score; backend_fixed_mapping,G-AI-03/G-AI-06,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-SCORE-002,P0,complexity_classification,LLM/classifier selects only C1–C5; backend deterministic logic assigns numerical points.,07_AI_RUNTIME/PROMPTS/classification.md; 07_AI_RUNTIME/ai_processing_schema.json; 07_AI_RUNTIME/EVALUATION/AI_EVAL_SPEC.md; 07_AI_RUNTIME/EVALUATION/REGRESSION_GATES.md,c_level_only; no_numeric_score; backend_fixed_mapping,G-AI-03/G-AI-06,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-SCORE-003,P0,complexity_classification,C1 Basic = 1 point.,07_AI_RUNTIME/PROMPTS/classification.md; 07_AI_RUNTIME/ai_processing_schema.json; 07_AI_RUNTIME/EVALUATION/AI_EVAL_SPEC.md; 07_AI_RUNTIME/EVALUATION/REGRESSION_GATES.md,c_level_only; no_numeric_score; backend_fixed_mapping,G-AI-03/G-AI-06,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-SCORE-004,P0,complexity_classification,C2 Standard = 5 points.,07_AI_RUNTIME/PROMPTS/classification.md; 07_AI_RUNTIME/ai_processing_schema.json; 07_AI_RUNTIME/EVALUATION/AI_EVAL_SPEC.md; 07_AI_RUNTIME/EVALUATION/REGRESSION_GATES.md,c_level_only; no_numeric_score; backend_fixed_mapping,G-AI-03/G-AI-06,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-SCORE-005,P0,complexity_classification,C3 Advanced = 15 points.,07_AI_RUNTIME/PROMPTS/classification.md; 07_AI_RUNTIME/ai_processing_schema.json; 07_AI_RUNTIME/EVALUATION/AI_EVAL_SPEC.md; 07_AI_RUNTIME/EVALUATION/REGRESSION_GATES.md,c_level_only; no_numeric_score; backend_fixed_mapping,G-AI-03/G-AI-06,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-SCORE-006,P0,complexity_classification,C4 Expert = 40 points.,07_AI_RUNTIME/PROMPTS/classification.md; 07_AI_RUNTIME/ai_processing_schema.json; 07_AI_RUNTIME/EVALUATION/AI_EVAL_SPEC.md; 07_AI_RUNTIME/EVALUATION/REGRESSION_GATES.md,c_level_only; no_numeric_score; backend_fixed_mapping,G-AI-03/G-AI-06,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-SCORE-007,P0,complexity_classification,C5 System / AI Engineering = 100 points.,07_AI_RUNTIME/PROMPTS/classification.md; 07_AI_RUNTIME/ai_processing_schema.json; 07_AI_RUNTIME/EVALUATION/AI_EVAL_SPEC.md; 07_AI_RUNTIME/EVALUATION/REGRESSION_GATES.md,c_level_only; no_numeric_score; backend_fixed_mapping,G-AI-03/G-AI-06,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-SCORE-008,P0,complexity_classification,Evidence signals guide C-level classification but are not mechanically summed into score.,07_AI_RUNTIME/PROMPTS/classification.md; 07_AI_RUNTIME/ai_processing_schema.json; 07_AI_RUNTIME/EVALUATION/AI_EVAL_SPEC.md; 07_AI_RUNTIME/EVALUATION/REGRESSION_GATES.md,c_level_only; no_numeric_score; backend_fixed_mapping,G-AI-03/G-AI-06,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-SCORE-009,P0,complexity_classification,Number of AI tools alone does not increase Complexity without a connected workflow.,07_AI_RUNTIME/PROMPTS/classification.md; 07_AI_RUNTIME/ai_processing_schema.json; 07_AI_RUNTIME/EVALUATION/AI_EVAL_SPEC.md; 07_AI_RUNTIME/EVALUATION/REGRESSION_GATES.md,c_level_only; no_numeric_score; backend_fixed_mapping,G-AI-03/G-AI-06,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-SCORE-010,P0,complexity_classification,"Role, personal skill, recipient status, description verbosity and inferred prestige must not affect Complexity.",07_AI_RUNTIME/PROMPTS/classification.md; 07_AI_RUNTIME/ai_processing_schema.json; 07_AI_RUNTIME/EVALUATION/AI_EVAL_SPEC.md; 07_AI_RUNTIME/EVALUATION/REGRESSION_GATES.md,c_level_only; no_numeric_score; backend_fixed_mapping,G-AI-03/G-AI-06,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-SCORE-011,P0,complexity_classification,Processing must record prompt/model/rubric version identifiers so rule changes do not silently change historical records.,07_AI_RUNTIME/PROMPTS/classification.md; 07_AI_RUNTIME/ai_processing_schema.json; 07_AI_RUNTIME/EVALUATION/AI_EVAL_SPEC.md; 07_AI_RUNTIME/EVALUATION/REGRESSION_GATES.md,c_level_only; no_numeric_score; backend_fixed_mapping,G-AI-03/G-AI-06,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-AI-009,P0,ai_processing,"Plausibility checking uses versioned knowledge about AI-tool capabilities; permanent hardcoded capability claims are prohibited, and uncertainty leads to clarification rather than accusation or automatic rejection.",07_AI_RUNTIME/AI_RUNTIME_SPEC.md; 07_AI_RUNTIME/AI_STATE_MACHINE.md; 07_AI_RUNTIME/ai_processing_schema.json; 07_AI_RUNTIME/CAPABILITY_KB_CONTRACT.md; 07_AI_RUNTIME/PROMPTS/plausibility.md,typed_plausibility; backend_clarification_cap; trusted_context_validation,G-AI-04,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-NFR-010,P0_BASELINE_DEFERRED_SLA,failure_recovery,The architecture must prevent loss of an accepted raw task input when downstream AI processing fails; the exact MVP availability SLA remains to be defined separately.,07_AI_RUNTIME/AI_RUNTIME_SPEC.md#11-provider-failure-semantics; 07_AI_RUNTIME/AI_STATE_MACHINE.md; 07_AI_RUNTIME/MODEL_PROVIDER_INTERFACE.md,raw_input_already_persisted; bounded_retry; safe_failure,N/A,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-NFR-011,P0,idempotency,"Task submission, scoring-ledger application, goal matching and daily close are idempotent.",07_AI_RUNTIME/AI_STATE_MACHINE.md#8-idempotency-and-stale-response-defense; 07_AI_RUNTIME/AI_RUNTIME_SPEC.md,logical_run_idempotency; stale_response_rejection,N/A,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
