requirement_id,domain,release_priority,normalized_requirement,runtime_area,stage11_artifacts,stage11_status,external_dependency,test_contract_status,notes
PRD-EVO-005,Streak & evolution,P0,"Working evolution threshold baseline is E1=0, E2=250, E3=750, E4=2000, E5=5000 XP.",evolution visual boundary,11_3D_RUNTIME/ANIMATION_STATE_MAPPING.md; 11_3D_RUNTIME/MISSING_EXTERNAL_3D_ASSETS.md; 11_3D_RUNTIME/3D_RUNTIME_FINAL.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,Evolution authority stays in Stage 7; branch-specific art is not invented.
PRD-EVO-006,Streak & evolution,P0,Evolution stage names/thresholds are balance/content parameters requiring simulation before production freeze; current values remain baseline until explicitly changed.,evolution visual boundary,11_3D_RUNTIME/ANIMATION_STATE_MAPPING.md; 11_3D_RUNTIME/MISSING_EXTERNAL_3D_ASSETS.md; 11_3D_RUNTIME/3D_RUNTIME_FINAL.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,Evolution authority stays in Stage 7; branch-specific art is not invented.
PRD-EVO-007,Streak & evolution,P0_BASELINE_DEFERRED_FREEZE,"Evolution branch mechanics remain part of product logic, while final branch-specific visual art is not production-frozen.",evolution visual boundary,11_3D_RUNTIME/ANIMATION_STATE_MAPPING.md; 11_3D_RUNTIME/MISSING_EXTERNAL_3D_ASSETS.md; 11_3D_RUNTIME/3D_RUNTIME_FINAL.md,BASELINE_WITH_DEFERRED_VISUAL_FREEZE,OD-029 branch art,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,Evolution authority stays in Stage 7; branch-specific art is not invented.
VIS-ART-001,Visual & interaction,P0,Visual concept = Modern Airport Companion: near-realistic Pulkovo world + Lyuboznayka emotional focus + strict modern airport-inspired UI + restrained gamification.,art-direction runtime guard,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md; 11_3D_RUNTIME/MISSING_EXTERNAL_3D_ASSETS.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-ART-002,Visual & interaction,P0,Product should feel youthful/alive but not childish; playful emotionally but strict functionally; bright but not acidic/free-to-play.,art-direction runtime guard,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md; 11_3D_RUNTIME/MISSING_EXTERNAL_3D_ASSETS.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-ART-003,Visual & interaction,P0,Do not use a domestic cozy-room concept or home décor as the primary environment.,art-direction runtime guard,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md; 11_3D_RUNTIME/MISSING_EXTERNAL_3D_ASSETS.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-ART-004,Visual & interaction,P0,Retro digital-toy references are secondary only; no pixel/LCD/plastic-console identity as core UI.,art-direction runtime guard,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md; 11_3D_RUNTIME/MISSING_EXTERNAL_3D_ASSETS.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-MASCOT-001,Visual & interaction,P0,Canonical mascot is the exact approved user-supplied JPEG; derivatives must preserve that identity.,mascot runtime,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/ANIMATION_STATE_MAPPING.md; 11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md; 11_3D_RUNTIME/FALLBACK_MAPPING.md,MAPPED,MSC-EXT-001 final mascot GLB,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-MASCOT-002,Visual & interaction,P0,"Mascot invariants: compact rounded body, huge glossy dark eyes, tiny beak, cream-white soft fur/feathers, warm beige/light-brown accents, short limbs, gentle curious expression.",mascot runtime,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/ANIMATION_STATE_MAPPING.md; 11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md; 11_3D_RUNTIME/FALLBACK_MAPPING.md,MAPPED,MSC-EXT-001 final mascot GLB,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-MASCOT-003,Visual & interaction,P0,Mascot rendering is semi/near-realistic stylized 3D; it must not become a realistic owl or flat cartoon.,mascot runtime,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/ANIMATION_STATE_MAPPING.md; 11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md; 11_3D_RUNTIME/FALLBACK_MAPPING.md,MAPPED,MSC-EXT-001 final mascot GLB,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-MASCOT-004,Visual & interaction,P0,Home is mascot-first; functional screens are function-first and must not decorate every control with mascot imagery.,mascot runtime,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/ANIMATION_STATE_MAPPING.md; 11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md; 11_3D_RUNTIME/FALLBACK_MAPPING.md,MAPPED,MSC-EXT-001 final mascot GLB,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-MASCOT-005,Visual & interaction,P0_BASELINE_DEFERRED_FREEZE,Do not use a persistent first-person mascot speech bubble on Home; ambient copy remains deferrable.,mascot runtime,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/ANIMATION_STATE_MAPPING.md; 11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md; 11_3D_RUNTIME/FALLBACK_MAPPING.md,BASELINE_WITH_DEFERRED_VISUAL_FREEZE,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-WORLD-001,Visual & interaction,P0,Environment source of truth is the approved Pulkovo terminal-interior composition.,Pulkovo world runtime,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/ASSET_LOADING_ORDER.md; 11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md; 11_3D_RUNTIME/PERFORMANCE_TIERS.md,MAPPED,WLD-EXT-001..005 final world GLBs,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-WORLD-002,Visual & interaction,P0,"Pulkovo cues: tall bright terminal, warm faceted/golden ceiling, structural supports, glazing/daylight, reflective floor, airport counters/screens/passenger context and restrained people.",Pulkovo world runtime,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/ASSET_LOADING_ORDER.md; 11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md; 11_3D_RUNTIME/PERFORMANCE_TIERS.md,MAPPED,WLD-EXT-001..005 final world GLBs,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-WORLD-003,Visual & interaction,P0,Lyuboznayka remains foreground emotional focus; environment must not overpower it.,Pulkovo world runtime,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/ASSET_LOADING_ORDER.md; 11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md; 11_3D_RUNTIME/PERFORMANCE_TIERS.md,MAPPED,WLD-EXT-001..005 final world GLBs,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-WORLD-004,Visual & interaction,P0_BASELINE_DEFERRED_FREEZE,Day lighting is implementation baseline; morning/evening/night remain derivative states.,Pulkovo world runtime,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/ASSET_LOADING_ORDER.md; 11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md; 11_3D_RUNTIME/PERFORMANCE_TIERS.md,BASELINE_WITH_DEFERRED_VISUAL_FREEZE,OD-012/026 derivative lighting + world assets,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-HOME-001,Visual & interaction,P0,AI-задача UI semantics = completed AI-assisted work case; no future to-do lifecycle.,Home composition,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/FALLBACK_MAPPING.md; 11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-HOME-002,Visual & interaction,P0,Mobile bottom navigation = Главная / История / Рейтинг / Профиль.,Home composition,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/FALLBACK_MAPPING.md; 11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-HOME-003,Visual & interaction,P0,Home primary CTA = «Добавить AI-задачу».,Home composition,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/FALLBACK_MAPPING.md; 11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-HOME-004,Visual & interaction,P0,Annual Score/rank is not persistently displayed on Home; use Rating/Profile contexts.,Home composition,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/FALLBACK_MAPPING.md; 11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-HOME-005,Visual & interaction,P0,Evolution XP is not persistently displayed on Home; use Profile/Evolution/result contexts.,Home composition,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/FALLBACK_MAPPING.md; 11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-HOME-006,Visual & interaction,P0,Home shows compact Monthly Goals progress only; full detail is elsewhere.,Home composition,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/FALLBACK_MAPPING.md; 11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-HOME-007,Visual & interaction,P0_BASELINE_DEFERRED_FREEZE,Home health presentation baseline = mascot state + detail-on-demand; no persistent numeric HP bar.,Home composition,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/FALLBACK_MAPPING.md; 11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md,BASELINE_WITH_DEFERRED_VISUAL_FREEZE,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-HOME-008,Visual & interaction,P0_BASELINE_DEFERRED_FREEZE,Do not add permanent feed/play/learn/rest-style game-button row on Home.,Home composition,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/FALLBACK_MAPPING.md; 11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md,BASELINE_WITH_DEFERRED_VISUAL_FREEZE,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-DS-001,Visual & interaction,P0,"Functional UI is light, strict, modern, airport-inspired with restrained amber/gold accent.",UI/3D layering and handoff,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-DS-002,Visual & interaction,P0,Functional UX/readability takes priority over decorative 3D/gamification.,UI/3D layering and handoff,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-DS-003,Visual & interaction,P0,Use current Stage-20 token/component handoff rather than legacy component values.,UI/3D layering and handoff,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-DS-004,Visual & interaction,P0_BASELINE_DEFERRED_FREEZE,Final runtime font is not frozen; Stage-20 baseline uses Inter + system fallbacks and must remain replaceable.,UI/3D layering and handoff,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md,BASELINE_WITH_DEFERRED_VISUAL_FREEZE,OD-017/018 frontend/scene freeze values,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-DS-005,Visual & interaction,P0_BASELINE_DEFERRED_FREEZE,Current token palette is implementation baseline; final scene-level color calibration remains a freeze refinement.,UI/3D layering and handoff,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md,BASELINE_WITH_DEFERRED_VISUAL_FREEZE,OD-017/018 frontend/scene freeze values,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-MOTION-001,Visual & interaction,P0,Navigation motion is fast/restrained; mascot/feedback motion may be more elastic without impairing function.,motion/animation,11_3D_RUNTIME/ANIMATION_STATE_MAPPING.md; 11_3D_RUNTIME/PERFORMANCE_TIERS.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-MOTION-002,Visual & interaction,P0,Reduced Motion behavior is mandatory; large bounce/squash/motion degrades to restrained fade/scale while preserving feedback.,motion/animation,11_3D_RUNTIME/ANIMATION_STATE_MAPPING.md; 11_3D_RUNTIME/PERFORMANCE_TIERS.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-MOTION-003,Visual & interaction,P0_BASELINE_DEFERRED_FREEZE,Stage-20 motion values are the implementation baseline; final animation tuning remains open.,motion/animation,11_3D_RUNTIME/ANIMATION_STATE_MAPPING.md; 11_3D_RUNTIME/PERFORMANCE_TIERS.md,BASELINE_WITH_DEFERRED_VISUAL_FREEZE,OD-027 final animation tuning,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-RESP-001,Visual & interaction,P0,Mobile is primary; desktop/admin uses dedicated desktop information architecture rather than stretched mobile layouts.,responsive camera,11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md; 11_3D_RUNTIME/3D_RUNTIME_FINAL.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-RESP-002,Visual & interaction,P0,"Responsive 3D framing preserves mascot face/eyes, CTA and nav safe regions; mascot does not scale linearly with viewport width.",responsive camera,11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md; 11_3D_RUNTIME/3D_RUNTIME_FINAL.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-3D-001,Visual & interaction,P0,3D planning architecture = HYBRID and functional UI must remain usable when realtime 3D is unavailable.,3D runtime core,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/ASSET_LOADING_ORDER.md; 11_3D_RUNTIME/FALLBACK_MAPPING.md; 11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md; 11_3D_RUNTIME/PERFORMANCE_TIERS.md; 11_3D_RUNTIME/MISSING_EXTERNAL_3D_ASSETS.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-3D-002,Visual & interaction,P0,Realtime baseline = Three.js + WebGL2-capable web/PWA + glTF 2.0/GLB.,3D runtime core,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/ASSET_LOADING_ORDER.md; 11_3D_RUNTIME/FALLBACK_MAPPING.md; 11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md; 11_3D_RUNTIME/PERFORMANCE_TIERS.md; 11_3D_RUNTIME/MISSING_EXTERNAL_3D_ASSETS.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-3D-003,Visual & interaction,P0,"3D coordinate convention = 1 unit = 1 meter, right-handed glTF, Y-up.",3D runtime core,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/ASSET_LOADING_ORDER.md; 11_3D_RUNTIME/FALLBACK_MAPPING.md; 11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md; 11_3D_RUNTIME/PERFORMANCE_TIERS.md; 11_3D_RUNTIME/MISSING_EXTERNAL_3D_ASSETS.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-3D-004,Visual & interaction,P0,Production visual runtime files may be consumed directly only from `08_PRODUCTION_EXPORTS/`.,3D runtime core,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/ASSET_LOADING_ORDER.md; 11_3D_RUNTIME/FALLBACK_MAPPING.md; 11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md; 11_3D_RUNTIME/PERFORMANCE_TIERS.md; 11_3D_RUNTIME/MISSING_EXTERNAL_3D_ASSETS.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-3D-005,Visual & interaction,P0,Existing package GLBs are Stage-16 technical/proxy assets and must not be promoted as final production 3D.,3D runtime core,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/ASSET_LOADING_ORDER.md; 11_3D_RUNTIME/FALLBACK_MAPPING.md; 11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md; 11_3D_RUNTIME/PERFORMANCE_TIERS.md; 11_3D_RUNTIME/MISSING_EXTERNAL_3D_ASSETS.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-3D-006,Visual & interaction,P0_EXTERNAL_ASSET_WITH_FALLBACK,Final mascot/world production GLBs are external production dependencies; integrate through explicit interfaces and approved fallbacks.,3D runtime core,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/ASSET_LOADING_ORDER.md; 11_3D_RUNTIME/FALLBACK_MAPPING.md; 11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md; 11_3D_RUNTIME/PERFORMANCE_TIERS.md; 11_3D_RUNTIME/MISSING_EXTERNAL_3D_ASSETS.md,EXTERNAL_ASSET_WITH_APPROVED_FALLBACK,MSC-EXT-001; WLD-EXT-001..005,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-3D-007,Visual & interaction,DEFERRED_OPTIONAL,KTX2 remains optional/unvalidated; compatible non-KTX2 path is current baseline.,3D runtime core,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/ASSET_LOADING_ORDER.md; 11_3D_RUNTIME/FALLBACK_MAPPING.md; 11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md; 11_3D_RUNTIME/PERFORMANCE_TIERS.md; 11_3D_RUNTIME/MISSING_EXTERNAL_3D_ASSETS.md,DEFERRED_OPTIONAL,TEX-EXT-001 / OD-023,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-3D-008,Visual & interaction,P0_BASELINE_DEFERRED_FREEZE,"LOD, memory and file-size numeric budgets are not benchmark-certified; no measured performance claim may be invented.",3D runtime core,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/ASSET_LOADING_ORDER.md; 11_3D_RUNTIME/FALLBACK_MAPPING.md; 11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md; 11_3D_RUNTIME/PERFORMANCE_TIERS.md; 11_3D_RUNTIME/MISSING_EXTERNAL_3D_ASSETS.md,BASELINE_WITH_DEFERRED_VISUAL_FREEZE,OD-021/022/024/025/026,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-3D-009,Visual & interaction,P0_BASELINE_DEFERRED_FREEZE,Numeric camera/FOV/safe-zone and runtime-lighting values remain tuning items; use current framing/lighting specs as baseline.,3D runtime core,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/ASSET_LOADING_ORDER.md; 11_3D_RUNTIME/FALLBACK_MAPPING.md; 11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md; 11_3D_RUNTIME/PERFORMANCE_TIERS.md; 11_3D_RUNTIME/MISSING_EXTERNAL_3D_ASSETS.md,BASELINE_WITH_DEFERRED_VISUAL_FREEZE,OD-021/022/024/025/026,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-ASSET-001,Visual & interaction,P0,Old schematic Happy/Coma mascot fallbacks are deprecated; canonical-derived v2 fallbacks are current.,runtime asset provenance/fallback,11_3D_RUNTIME/FALLBACK_MAPPING.md; 11_3D_RUNTIME/MISSING_EXTERNAL_3D_ASSETS.md; 11_3D_RUNTIME/3D_RUNTIME_FINAL.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-ASSET-002,Visual & interaction,P0,Approved Pulkovo Home Day v2 fallback is current.,runtime asset provenance/fallback,11_3D_RUNTIME/FALLBACK_MAPPING.md; 11_3D_RUNTIME/MISSING_EXTERNAL_3D_ASSETS.md; 11_3D_RUNTIME/3D_RUNTIME_FINAL.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
VIS-QA-001,Visual & interaction,P0,Current Golden Screen set contains 17 v2 references: 15 mobile and 2 desktop.,QA handoff boundary,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/PERFORMANCE_TIERS.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,Golden screens remain visual references; executable tests are Stage 15.
VIS-QA-002,Visual & interaction,P0,Golden Screens are visual regression references and do not replace functional/performance runtime tests.,QA handoff boundary,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/PERFORMANCE_TIERS.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,Golden screens remain visual references; executable tests are Stage 15.
VIS-RIGHTS-001,Visual & interaction,P0,Legal/brand/license/provenance workflow is WAIVED_NON_BLOCKING for project progression; this is not independent legal clearance.,asset eligibility,11_3D_RUNTIME/MISSING_EXTERNAL_3D_ASSETS.md; 11_3D_RUNTIME/3D_RUNTIME_FINAL.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,Workflow waiver does not assert independent legal clearance.
VIS-PERF-001,Visual & interaction,P0,Physical-device Stage-16 validation is WAIVED_NON_BLOCKING; no measured FPS/memory/load claim is authorized.,performance evidence integrity,11_3D_RUNTIME/PERFORMANCE_TIERS.md; 11_3D_RUNTIME/MISSING_EXTERNAL_3D_ASSETS.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,No measured performance claim is created.
VIS-ART-005,Visual & interaction,P0_BASELINE_DEFERRED_FREEZE,Final app identity/logo must not be invented until supplied/approved.,art-direction runtime guard,11_3D_RUNTIME/3D_RUNTIME_FINAL.md; 11_3D_RUNTIME/CAMERA_AND_SAFEZONE_RUNTIME.md; 11_3D_RUNTIME/MISSING_EXTERNAL_3D_ASSETS.md,BASELINE_WITH_DEFERRED_VISUAL_FREEZE,OD-016 final app identity,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,
